id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
1255986284004126720,turnbullmalcolm,2020-05-01,06:23:59,Why renewables are the only energy source on the rise http://www.afr.com/business/energy/why-renewables-are-the-only-energy-source-on-the-rise-20200430-p54ost?btis …,73,46,266,[]
1255960120300670976,turnbullmalcolm,2020-05-01,04:40:01,"Want an economic tonic, Mr Morrison? Use that stimulus money to turbocharge renewables  https://theconversation.com/want-an-economic-tonic-mr-morrison-use-that-stimulus-money-to-turbocharge-renewables-137074?utm_source=twitter&utm_medium=bylinetwitterbutton … via @ConversationEDU",324,270,1059,['conversationedu']
1255825649043795969,turnbullmalcolm,2020-04-30,19:45:41,via @NYTimes https://www.nytimes.com/2020/04/29/nyregion/coronavirus-nyc-hospitals.html?referringSource=articleShare …,11,13,52,['nytimes']
1255686462466449408,turnbullmalcolm,2020-04-30,10:32:36,Chatting live with Silicon Block at 12.30PM AEST today alongside @howcroft. Tune in https://tinyurl.com/ycugtqc3 ,6,4,13,['howcroft']
1255600987735117824,turnbullmalcolm,2020-04-30,04:52:58,That’s my point.,8,1,20,['antoinepace']
1255459305807130626,turnbullmalcolm,2020-04-29,19:29:58,Mesmerising,2,0,6,['carolduncan']
1255422827139870720,turnbullmalcolm,2020-04-29,17:05:01,"“An Australian prime minister who ends up in conflict with China cannot expect any support or solidarity from the Australian business community. Overwhelmingly, they’re totally invested in the economic benefits of the relationship...” #abiggerpicture https://twitter.com/erykbagshaw/status/1255413679438340096 …",360,202,765,[]
1255401679043858434,turnbullmalcolm,2020-04-29,15:40:59,The pandemic at sea: How cruises carried the virus around the globe https://www.washingtonpost.com/graphics/2020/politics/cruise-ships-coronavirus/ …,32,53,152,[]
1254681226146770945,turnbullmalcolm,2020-04-27,15:58:09,Jess I am reading your book now. It’s outstanding. Strongly recommend it.,5,11,160,['jessradio']
1254553414647742464,turnbullmalcolm,2020-04-27,07:30:17,Well said Eytan and thanks to Singapore PM @leehsienloong for making it available - a good example of the international collaboration we need more of to beat this virus. https://twitter.com/eytanlenko/status/1254548627982172160 …,11,11,93,['leehsienloong']
1254394094375198720,turnbullmalcolm,2020-04-26,20:57:12,Thank you Eman.,0,0,2,['emanhalilovic']
1254365846849220609,turnbullmalcolm,2020-04-26,19:04:57,#covidsafe ✅,61,43,892,[]
1254355229308420096,turnbullmalcolm,2020-04-26,18:22:46,Thank you teachers! #teachersrock https://twitter.com/annabelcrabb/status/1254320164960530442 …,25,53,442,[]
1254195683608780800,turnbullmalcolm,2020-04-26,07:48:47,"The borderless world we once knew is rapidly disappearing in the age of Covid-19, writes the Journal’s chief foreign affairs correspondent @yarotrof https://www.wsj.com/articles/a-world-of-hardening-borders-11587135761 …",29,12,72,['yarotrof']
1254193280524226560,turnbullmalcolm,2020-04-26,07:39:14,The Economist | How previous contagions changed cities via @TheEconomist https://www.economist.com/node/21784488?frsc=dg%7Ce …,8,12,60,['theeconomist']
1254173399749812224,turnbullmalcolm,2020-04-26,06:20:14,Malcolm Turnbull in Conversation with Annabel Crabb - 7 pm Monday. https://www.swf.org.au/festivals/2020-21/malcolm-turnbull-in-conversation-with-annabel-crabb/ …,22,11,123,[]
1253798224944435200,turnbullmalcolm,2020-04-25,05:29:25,via @NYTimes https://www.nytimes.com/2020/04/24/nyregion/phil-murphy-coronavirus.html?referringSource=articleShare …,3,2,17,['nytimes']
1253525195760865280,turnbullmalcolm,2020-04-24,11:24:30,Of course I shouldn’t expect civility on twitter. Far too idealistic,166,8,43,"['yathinkn', 'noplaceforsheep']"
1253521476029829121,turnbullmalcolm,2020-04-24,11:09:43,I should say I don’t recall your telling me it was being recorded - if you did it will no doubt be on the tape but nonetheless would appreciate a copy.,3,1,9,"['troybramston', 'vanonselenp']"
1253514335713812480,turnbullmalcolm,2020-04-24,10:41:21,"Jim, all my time in public life I have condemned racism and defended and advanced the values of our multicultural society. I encourage you and others to read my book.",115,1,20,"['jimmalo7', 'grogsgamut']"
1253504109983883264,turnbullmalcolm,2020-04-24,10:00:43,"Spare us your feigned indignation Troy, please send me the audio file of the interview you didn’t tell me you were recording and which you have written about it so graphically",10,3,26,"['troybramston', 'vanonselenp']"
1253502064690262017,turnbullmalcolm,2020-04-24,09:52:35,"Responding to your point about diversity: diversity is not The Australian occasionally allowing a columnist to express mild dissent from the party line. Diversity means a range of media platforms owned by different groups and, ideally, dedicated to high standards of journalism",15,0,32,"['troybramston', 'australian', 'vanonselenp']"
1253501221467373570,turnbullmalcolm,2020-04-24,09:49:14,"Thanks Troy, look forward to your sending me a copy of the audio file you recorded.",0,0,8,"['troybramston', 'australian', 'vanonselenp']"
1253500603449241601,turnbullmalcolm,2020-04-24,09:46:47,"Asher, there is a chapter on NBN in my book which sets out my views on it all, can’t do it justice in a tweet (I know I am wordy:-))",0,0,1,['ashermoses']
1253499267349573632,turnbullmalcolm,2020-04-24,09:41:28,"If we had stuck to the original FTTP plan, the project would now be half built, so half the country would be on ADSL - a complete disaster at this time especially. The MTM strategy was the right one and has been proved to be.",60,0,3,"['ashermoses', 'grogsgamut']"
1253498365666422786,turnbullmalcolm,2020-04-24,09:37:53,"Anyway, thanks for encouraging people to read the book, and my views on media, diversity and journalism in this crazy era are all set out there in some greater detail than twitter allows.",4,1,14,['troybramston']
1253498156966240256,turnbullmalcolm,2020-04-24,09:37:04,"The point about partisanship is that you did not appear to understand the importance of diversity in the media and the value of quality journalism per se, as opposed to see media as a tool of political, partisan propaganda.",6,0,11,['troybramston']
1253493932693938177,turnbullmalcolm,2020-04-24,09:20:17,"Asher I just reread that blog from 2013 and the point about 25 mbps was simply that that was the speed which the Labor Govt had proposed as the upper limit of speed for the regions where fixed wireless and satellite were deployed. It’s a statement of fact, no more or less.",9,0,4,"['ashermoses', 'grogsgamut']"
