id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
1252657299723882496,hassanrouhani,2020-04-22,01:55:48,"In phone call today w/ Pres Putin, we agreed on the importance of int'l cooperation to fight #COVID19.
Also agreed that EU must take action against US unlawful behaviors, incl its veto of Iran’s loan request from the IMF to fight pandemic.
Tehran-Moscow will implement agreements.",355,273,1636,[]
1247813958184009728,hassanrouhani,2020-04-08,17:10:05,"I want to remind the international community of their duties in this pandemic crisis. We are a member of the International Monetary Fund (#IMF) and World Bank. It is unacceptable to discriminate between different nations, both for us and the global public opinion. #COVID19",802,918,4609,[]
1241092203918823430,hassanrouhani,2020-03-21,04:00:14,"In a letter addressed to the people of the United States of America, I asked them to appeal to their administration and congress that the current path of pressure and sanctions will never be successful.",325,218,943,[]
1241072378999902212,hassanrouhani,2020-03-21,02:41:27,"In a pandemic Tehran, Paris, London and Washington are not far apart and any undermining of Iran’s health system will cripple the global fight against this pandemic. #COVID19 is a matter of life and death and countering it is the duty of all nations. http://president.ir/en/114343 ",680,505,1986,[]
1240874628551188482,hassanrouhani,2020-03-20,13:35:40,"Happy #Nowruz to all Iranians and those celebrating the beginning of spring. May the New Year bring all peace & prosperity.
#haftsin pic.twitter.com/Z2ubnfm8rQ",369,429,3670,[]
1222584843143389192,hassanrouhani,2020-01-30,02:18:35,"Enough of these foolish attempts. The Most Despicable Plan of the Century.
#DespicablePlan",914,571,3635,[]
1215856679423823872,hassanrouhani,2020-01-11,12:43:16,"The Islamic Republic of Iran deeply regrets this disastrous mistake.

My thoughts and prayers go to all the mourning families. I offer my sincerest condolences. https://twitter.com/HassanRouhani/status/1215856039997984768 …",3177,5205,13989,[]
1215856039997984768,hassanrouhani,2020-01-11,12:40:44,"Armed Forces’ internal investigation has concluded that regrettably missiles fired due to human error caused the horrific crash of the Ukrainian plane & death of 176 innocent people.
Investigations continue to identify & prosecute this great tragedy & unforgivable mistake. #PS752",5956,9140,21122,[]
1214937045124177921,hassanrouhani,2020-01-08,23:48:58,"The tragedy of the stampede at Gen. Soleimani's funeral in Kerman and the crash of a Ukrainian passenger plane in Tehran that killed numerous Iranians, including a group of students, as well as other nationalities, deeply saddens all Iranians. May they rest in peace. #PS752 pic.twitter.com/qO3oHSGdvJ",1368,1266,9674,[]
1214864354782384134,hassanrouhani,2020-01-08,19:00:07,"General Soleimani fought heroically against ISIS, Al Nusrah, Al Qaeda et al. If it weren’t for his war on terror, European capitals would be in great danger now.
Our final answer to his assassination will be to kick all US forces out of the region.",3390,8811,34088,[]
1214236608196685824,hassanrouhani,2020-01-07,01:25:41,"Those who refer to the number 52 should also remember the number 290. #IR655
Never threaten the Iranian nation.",5508,6362,28540,[]
1213009152093696005,hassanrouhani,2020-01-03,16:08:13,"The flag of General Soleimani in defense of the country's territorial integrity and the fight against terrorism and extremism in the region will be raised, and the path of resistance to US excesses will continue. The great nation of Iran will take revenge for this heinous crime.",8490,14059,41562,[]
1208044275365224455,hassanrouhani,2019-12-20,23:19:34,"I welcome any effort that could boost economic exchanges, especially in the energy sector, and increase oil exports. As long as it preserves our national interests and be in the #JCPOA context. Other parties must also keep up to their commitments. pic.twitter.com/vCh8i15xZT",524,399,3812,[]
1207354534588235777,hassanrouhani,2019-12-19,01:38:47,"Muslims are all from one family and they should feel responsible for each other. The cooperation of Islamic countries is essential in resisting the pressure of the great powers.
#KLSummit2019
@ChedetOfficial pic.twitter.com/QqN1V6GGSv",350,426,3594,['chedetofficial']
1207207214588579842,hassanrouhani,2019-12-18,15:53:23,"The Islamic Republic of Iran is ready to work with other Islamic countries to develop artificial intelligence.
The future of the world economy is the digital economy; and progress is achieved with partnership.
#KLSummit2019",334,366,2575,[]
1192019480307744769,hassanrouhani,2019-11-06,18:02:45,"Iran’s 4th step in reducing its commitments under the JCPOA by injecting gas to 1044 centrifuges begins today. Thanks to US policy and its allies, Fordow will soon be back to full operation. https://twitter.com/HassanRouhani/status/1126018907502936065 …",515,287,1152,[]
1176882483788468226,hassanrouhani,2019-09-25,23:33:44,"The message of the Iranian nation is clear:
Let’s invest on hope for a better future rather than in war and violence. Let’s return to justice; to peace; to law; to commitment and treaty and the negotiating table #UNGA",570,419,1829,[]
1176882225159294977,hassanrouhani,2019-09-25,23:32:42,We do not tolerate the interference of outsiders. We shall respond decisively to any transgression or violation of our security & territorial integrity. Yet we prefer to seek a stronger consolidation among nations with common interests in the #PersianGulf & the #Hormuz region.,168,195,905,[]
1176881768525434880,hassanrouhani,2019-09-25,23:30:53,"The security of Saudi Arabia requires ending the aggression to Yemen and not by inviting foreigners. Rather than levelling allegations against the innocent, the warmonger should be found. The way to stability in the Middle East is found within rather than beyond.",98,199,841,[]
1176881396067045378,hassanrouhani,2019-09-25,23:29:24,"The security of the region needs the withdrawal of US forces who failed in 18 years where Iran, with the aid of neighboring nations and governments, succeeded to end ISIS's dominance. The route to peace and security in the ME is ""democracy at home; diplomacy abroad.""",98,205,922,[]
1176881069523656704,hassanrouhani,2019-09-25,23:28:07,"Any security coalition with foreign leadership is tantamount to interference in regional affairs. The security approach to shipping negates the freedom of navigation & fuels tension & mistrust while jeopardizing regional peace, security & stability.",39,89,436,[]
1176880801708949505,hassanrouhani,2019-09-25,23:27:03,"The Coalition of #HOPE, complying with the goals of the #UN, focuses on common interests while insisting on mutual respect, equal footing, peaceful settlement of differences and the fundamental principles of non-aggression and non-interference in the affairs of others. https://twitter.com/HassanRouhani/status/1176880211973038080 …",33,94,398,[]
1176880211973038080,hassanrouhani,2019-09-25,23:24:42,"I invite all countries affected by the developments in the Persian Gulf and the Strait of Hormuz to join the Coalition of #HOPE and the ""Hormuz Peace Endeavour"". This initiative covers different areas as energy security, navigation & oil transfer in #Hormuz & beyond.",34,145,633,[]
1176879663702056960,hassanrouhani,2019-09-25,23:22:31,"#JCPOA was a minimum: for you and for us. If you require more, you should pay more. If what you truly demand is for Iran not to obtain and use a nuclear weapon, this can be achieved through the supervision of the #IAEA & Iran’s Supreme Leader's fatwa.",23,95,357,[]
1176879384994689024,hassanrouhani,2019-09-25,23:21:25,"If you are sensitive to the very name of the JCPOA, you can still return to its spirit by respecting the framework of Security Council Resolution 2231. This is the first step. A photo shoot ceremony is the last not first step in negotiations.",45,175,758,[]
1176878753043165184,hassanrouhani,2019-09-25,23:18:54,"For 1.5 years, the US Gov has sought to deprive Iran of its right to access the world economy by threats & extra-territorial sanctions. We once negotiated under sanctions. We will not do so again. Halt the #sanctions and return to your commitments so the dialogue may reopen.",46,208,657,[]
1176876694650724352,hassanrouhani,2019-09-25,23:10:43,Watch #UNGA Speech Live Now: http://webtv.un.org/live-now/watch/general-assembly-general-debate-74th-session …,40,63,351,[]
1156928569358135296,hassanrouhani,2019-08-01,22:04:00,"FM @JZarif designation indicates that White House is frightened by his diplomatic capabilities. If they're serious abt negotiations, who other than the FM can be their interlocutor? Zarif heads Islamic Republic's diplomacy & ably talks & negotiates on behalf of the entire nation.",678,234,1207,['jzarif']
1126018907502936065,hassanrouhani,2019-05-08,15:00:02,"Starting today, Iran does not keep its enriched uranium and produced heavy water limited. The EU/E3+2 will face Iran's further actions if they can not fulfill their obligations within the next 60 days and secure Iran's interests. Win-Win conditions will be accepted.",1300,578,1943,[]
