id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
1248649228706025477,medvedevrussiae,2020-04-11,00:29:09,Today at the St Petersburg International Legal Forum my colleagues and I discussed the effectiveness of legal institutes during the pandemic and countries' cooperation to ensure global security https://www.facebook.com/Dmitry.Medvedev/videos/694701741306404/ …,37,17,60,[]
1247751643883376641,medvedevrussiae,2020-04-08,13:02:28,"The New START Treaty was signed ten years ago. Russia and the United States proved that they can agree not only for the sake of their nations, but for the sake of humankind. This ability to listen to each other is especially needed today  https://www.facebook.com/Dmitry.Medvedev/posts/10156762289221851/ …",31,53,143,[]
1240275884315160577,medvedevrussiae,2020-03-18,21:56:28,"Six years ago today, Crimea reunited with Russia. It is not just a memorable day. It is a day when the historical justice was restored. No sanctions or problems will hinder the development of our state and, of course, Crimea. We will do everything for its prosperity",87,52,223,[]
1237733787536162816,medvedevrussiae,2020-03-11,21:35:05,"The meeting with Prime Minister of Belarus Sergei Roumas focused on security cooperation - specifically, containing the coronavirus epidemic and the current situation on the oil markets https://www.facebook.com/Dmitry.Medvedev/videos/187491605881228/ …",19,25,70,[]
1237445276295667716,medvedevrussiae,2020-03-11,02:28:39,"If the proposed changes to the Constitution are upheld by the Constitutional Court and supported by Russian citizens, this will preserve stability in the development of our country and the succession of power, which is crucial for our Motherland in the modern era",59,49,162,[]
1214439147617816578,medvedevrussiae,2020-01-07,14:50:30,Happy Orthodox Christmas! pic.twitter.com/ERnmQGOHsP,168,152,715,[]
1211986147917881344,medvedevrussiae,2019-12-31,20:23:09,Happy New Year 2020! pic.twitter.com/sF0EtB6941,100,100,385,[]
1209093059281113088,medvedevrussiae,2019-12-23,20:47:03,US sanctions against Nord Stream 2 hit the interests of a large number of European countries. This is unfair competition. I instructed my colleagues from the Government to work out restrictive measures against the United States  https://www.facebook.com/Dmitry.Medvedev/photos/a.10150348022656851/10156465882476851/?type=1&theater … pic.twitter.com/dJj2kUk194,88,95,211,[]
1204715778630664192,medvedevrussiae,2019-12-11,18:53:18,We discussed inter-parliamentary dialogue and the development of Russian-Vietnamese cooperation in general with Chair of the National Assembly of Vietnam Nguyen Thi Kim Ngan pic.twitter.com/otiJdnKZSp,41,39,161,[]
1204457526726713345,medvedevrussiae,2019-12-11,01:47:06,Congratulations to Sanna Marin @MarinSanna on her appointment as Prime Minister of Finland. I am confident that further constructive dialogue at the prime minister level will promote the development of Russia-Finland cooperation in all areas,22,35,108,['marinsanna']
