id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
1256044818486067203,leehsienloong,2020-05-01,10:16:35,COVID-19 has forced us to adapt. Industries have been disrupted. These workers have adapted to their temp roles as safe distancing ambassadors. We are determined to look after every worker. I wish everyone a safe & meaningful #LabourDay. – LHL #SGUnited https://www.straitstimes.com/singapore/workers-take-on-front-line-roles-amid-job-disruption …,16,38,281,[]
1255822004961202177,leehsienloong,2020-04-30,19:31:12,"This year’s #MayDay celebration of workers is more sombre, amidst COVID-19. The circuit breaker has been hard for everyone. But we must hunker down, to stop the virus from spreading, so that we can progressively restart our economy. – LHL #SGUnited  https://go.gov.sg/hm10wr  pic.twitter.com/2Ue2H43TFC",47,122,535,[]
1255677613227470854,leehsienloong,2020-04-30,09:57:27,"We can’t hold the usual May Day Rally tomorrow because of COVID-19. Instead, I will broadcast my May Day speech tonight at 7:30pm. Watch it on my Facebook Page, PMO YouTube channel, or on TV. – LHL  http://go.gov.sg/9i6xq9  pic.twitter.com/U4NYKnIXhK",26,123,467,[]
1255452153969246209,leehsienloong,2020-04-29,19:01:33,Spoke to Colombian President @ivanduque on the phone this morning on what we were doing to tackle COVID-19. Grateful to the Colombian government for expediting the import of face masks to Singapore during the early days of the outbreak. – LHL 🇸🇬🇨🇴  https://go.gov.sg/f2wsp4  pic.twitter.com/uYTABrZM5F,27,85,432,['ivanduque']
1255315704284405760,leehsienloong,2020-04-29,09:59:21,"If you are experiencing other symptoms aside from fever, such as anosmia — the loss of sense of smell, please use this online COVID-19 Symptom Checker to get a recommendation whether to see a doctor. – LHL  https://sgcovidcheck.gov.sg/  #SGUnited",17,213,473,[]
1255102881096536064,leehsienloong,2020-04-28,19:53:40,"My thanks to all who have donated or volunteered to the the #SGUnited Buka Puasa initiative. The daily packed meals are provided for our healthcare frontliners & their families, as well as other families in need throughout the month of #Ramadan. – LHL https://twitter.com/RLAFoundationSG/status/1253438602815533056 …",13,119,490,[]
1254715661604929536,leehsienloong,2020-04-27,18:14:59,"A sad day for our sports community. Annabel Pennefather, a leading figure in Singapore sports, passed away today. My deepest condolences to Annabel’s family & loved ones. – LHL  https://go.gov.sg/48ifdm  pic.twitter.com/rqmQXf782F",24,42,286,[]
1254591925555884032,leehsienloong,2020-04-27,10:03:18,.@sporeMOH & @GovTechSG collaborated on an interactive online dashboard to communicate accurate & up-todate data on the COVID-19 situation in Singapore. Do check it out:  https://covidsitrep.moh.gov.sg  – LHL #SGUnited  https://go.gov.sg/24zemv ,27,103,373,"['sporemoh', 'govtechsg']"
1254361969575858177,leehsienloong,2020-04-26,18:49:33,"2 halls in Singapore Expo were converted into a temporary COVID-19 isolation facility for 950 patients in just 3 days. Community facilities allow our hospitals to focus on the more serious cases, and many people worked very hard to make this happen. – LHL https://www.todayonline.com/singapore/singapore-expo-covid-19-care-facility-how-surbana-jurong-set-up-2-halls-in-3-days …",65,268,1179,[]
1253867732488994817,leehsienloong,2020-04-25,10:05:37,"“Sing Together Singapore!” is happening tonight at 7:55pm. Do join in & show your support for frontline workers & others working hard to protect us all & keep Singapore running. – LHL  http://go.gov.sg/v52c47 
#singtogetherSG
#stayhomeforSG
#SingaporeTogether pic.twitter.com/JFauXIGary",52,206,862,[]
