id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
1251814747969748992,leehsienloong,2020-04-19,18:07:48,Thanks to the Singapore Chinese Orchestra for lifting our spirits with this virtual performance of Wang Chenwei’s “Confluence”. 🎵 – LHL   https://youtu.be/O6So-0HvJXA ,44,48,370,[]
1238046683344146434,leehsienloong,2020-03-12,18:18:25,"[PMO Admin] PM Lee will be giving an update on the COVID-19 outbreak in Singapore at 8pm today. He will be speaking in English, Malay & Chinese. You can catch it here on Twitter, the PMO YouTube channel ( http://www.youtube.com/pmosingapore ) or PM’s Facebook Page ( http://www.facebook.com/leehsienloong ). pic.twitter.com/0YP9Mg1VyM",43,341,710,[]
1233742573442715648,leehsienloong,2020-02-29,21:15:25,"Had fun at the interactive exhibition at Singapore Chinese Cultural Centre tdy. The permanent exhibition showcased how the distinct Singapore Chinese identity evolved over time, enriched by Singapore’s multiculturalism & multilingualism. – LHL  https://bit.ly/2PwtDcQ  pic.twitter.com/yQbWk25RZO",7,40,177,[]
1231025759440928768,leehsienloong,2020-02-22,09:19:47,A rousing tribute to healthcare & frontline workers by the Singapore Chinese Orchestra. Glad the arts community is coming together to rally Singaporeans during the COVID-19 outbreak. – LHL #SGUnited #SingaporeTogether http://bit.ly/2PcHQeI ,14,44,247,[]
1215808537881796608,leehsienloong,2020-01-11,09:31:58,"With #CNY only 2 weeks away, the Singapore Chinese Orchestra’s wonderful concert last night, Rhapsodies of Spring 2020 certainly put everyone in the right mood for the festive season. They have 2 more performances tdy! – LHL  http://bit.ly/2QGgkYc  pic.twitter.com/OYGyG7LXEQ",5,22,138,[]
1180302802280562689,leehsienloong,2019-10-05,10:04:51,Enjoyed an evening of splendid & rousing performances under the baton of Maestro Tsung Yeh at the Singapore Chinese Orchestra’s fundraising gala dinner yesterday. – LHL  http://bit.ly/30LOcVz  pic.twitter.com/HQsS4lrD7G,1,6,119,[]
1163085091049861122,leehsienloong,2019-08-18,21:47:49,"PM Lee has ended his National Day Rally. Thank you for following our live tweets! Click here for transcripts and full videos of his Malay, Chinese and English speeches:  https://www.pmo.gov.sg/ndr  #ndrsg",4,14,97,[]
1163053410993623041,leehsienloong,2019-08-18,19:41:56,PM Lee has given his Malay & Chinese speeches. He will start his English speech at 8:15pm. Watch #ndrsg live at  https://youtu.be/FEDNTGUu0oI  .,1,7,40,[]
1163038062877655040,leehsienloong,2019-08-18,18:40:57,English dub of Malay & Chinese speeches is available at  https://youtu.be/9Es2fIS9BUU  #ndrsg,1,4,34,[]
1162545844622462976,leehsienloong,2019-08-17,10:05:03,"A quick summary of what I’ll be talking about at the National Day Rally tmrw, Sun 18 Aug. I’ll begin in Malay & Chinese at 6:45pm, followed by English at 8:15pm. The PMO team will be live-tweeting my speeches here. Do tune in! – LHL #ndrsg pic.twitter.com/0GFshFPyOr",18,93,419,[]
1157990816935055361,leehsienloong,2019-08-04,20:24:59,"Enjoyed this delightful medley of Xinyao & National Day songs in Chinese by local performers Music Heart Band《乐点心》. Quite a nostalgic tribute to Singapore’s 54th birthday! – LHL
 https://www.youtube.com/watch?v=v4z6u4OpQB4 …",9,17,178,[]
1121572353261969408,leehsienloong,2019-04-26,08:31:01,Am in Beijing for the 2nd Belt and Road Forum. Sat down for an interview with @XHNews earlier this week ahead of my visit. You can read the interview (in English & Chinese) here:  http://on.pmo.sg/2ZsTl5p  – LHL pic.twitter.com/8dtE7zlVP7,9,20,115,['xhnews']
1114853537169547266,leehsienloong,2019-04-07,19:32:50,"Spent a relaxed evening at the Botanic Gardens for the Singapore Chinese Orchestra’s Spring in the Garden concert ytdy. We’ve had some wet weather lately, but fortunately conditions were perfect for yesterday’s performance! – LHL  http://bit.ly/2VrYdFn  pic.twitter.com/reODYrUFzg",7,14,218,[]
1092966777036759040,leehsienloong,2019-02-06,10:02:40,Something to add to the #ChineseNewYear mood. Thanks to the Singapore Chinese Orchestra for the trip down memory lane! – LHL  https://youtu.be/0Up-Px5r7dY ,21,20,145,[]
1061998753295396864,leehsienloong,2018-11-12,23:06:48,Welcomed Chinese Premier Li Keqiang to the Istana on the 40th anniversary of Deng Xiaoping’s visit to SG. Hope this serves as an occasion for us to build warmer ties. – LHL  http://bit.ly/2DyxcuN  pic.twitter.com/xAk25QH2PO,20,33,268,[]
1043123023853772800,leehsienloong,2018-09-21,21:01:23,"Happy to meet Chinese Vice Premier Han Zheng again. He was here leading a delegation for the Joint Council for Bilateral Cooperation, our highest-level forum with China, which is instrumental in overseeing & growing our relationship. – LHL  http://bit.ly/2NsH929  pic.twitter.com/9lNC42aTyw",5,19,113,[]
1038259769583104000,leehsienloong,2018-09-08,10:56:33,Music is food for the soul. Enjoyed the wonderful performances at SG Chinese Orchestra’s fundraising dinner & concert ytdy. – LHL 🎶🎶  http://bit.ly/2QjtiZY  pic.twitter.com/T9zTJLGqod,8,21,165,[]
1038004499913162752,leehsienloong,2018-09-07,18:02:12,"祝贺《联合早报》95 周年快乐! Celebrated @zaobaosg’s 95th birthday ytdy with present & former staff/management, representatives of the Chinese community & supporters. – LHL  http://bit.ly/2NStihK  pic.twitter.com/3H4vlt7UQ3",4,11,112,['zaobaosg']
1031172919869636608,leehsienloong,2018-08-19,21:35:57,"#ndrsg has ended. Thank you for following our live tweets! The full recordings of the Malay, Chinese and English speeches with subtitles will be available on the PMO YouTube channel ( https://www.youtube.com/pmosingapore ) shortly. Good night from the PMO team!",9,31,122,[]
1031142924187185153,leehsienloong,2018-08-19,19:36:45,PM Lee has given his Malay & Chinese speeches. He will start his English speech at 8:15pm. Watch #ndrsg live at  https://youtu.be/hzfxqXUzFlE .,1,14,47,[]
1031127657616797697,leehsienloong,2018-08-19,18:36:05,Eng dub of Malay & Chinese speeches is available at  https://youtu.be/A5CwYkxyNOE  #ndrsg,0,7,27,[]
1024595868777775104,leehsienloong,2018-08-01,18:01:05,This is Home truly… Many thanks to SG Chinese Orchestra for their video tribute to Singapore’s 53rd birthday!  – LHL  https://youtu.be/ZhlDh13n9sM ,9,35,212,[]
983731796725526528,leehsienloong,2018-04-10,23:41:51,A fruitful day at the Boao Forum for Asia Conference. Met Chinese President Xi Jinping & discussed the gd progress in our bilateral cooperation. Glad to see SG-China relations flourish & scale new heights! 🇸🇬🇨🇳 – LHL  https://bit.ly/2qqr9jV  pic.twitter.com/pAlG8Cwwwl,13,17,124,[]
983337987655151617,leehsienloong,2018-04-09,21:37:00,Congratulated Chinese Vice President Wang Qishan this morning on his new appointment! Am now in Hainan for Bo’ao Forum for Asia. – LHL  http://bit.ly/2uXZzyZ  pic.twitter.com/JnDTJBd7Ji,11,21,116,[]
964296851712126976,leehsienloong,2018-02-16,08:34:19,How better to welcome the #YearOfTheDog than with the K-9 Unit from @singaporepolice! A happy & pawperous Chinese New Year to one & all! – LHL  pic.twitter.com/u8WiLCjUh5,28,128,423,['singaporepolice']
950916567495163904,leehsienloong,2018-01-10,10:25:51,Answered qns fr student reporters for the relaunched @zbComma Chinese news magazine. 回答了联合学生通讯员的有趣问题，点击看《逗号》访问内容。– LHL  http://bit.ly/2CZFzi8 ,8,11,61,['zbcomma']
899232116587741185,leehsienloong,2017-08-20,19:30:18,PM Lee has given his Malay & Chinese speeches. He will start his English speech at 8:15pm. Watch #ndrsg live at  https://www.facebook.com/leehsienloong/ .,0,15,44,[]
899214621269147648,leehsienloong,2017-08-20,18:20:46,Eng dub + sign language interpretation of Malay & Chinese speeches; live captioning for Eng speech is at  https://youtu.be/JPQZb0AkrDU . #ndrsg,1,12,51,[]
