country,name,head,twittername,twitter@
AMERICA,Donald J. Trump,......,Donald J. Trump,@realDonaldTrump
AFGHANISTAN,Mohammad Ashraf Ghani Ahmadzai,President of the Islamic Republic of Afghanistan,Ashraf Ghani,@ashrafghani
AFGHANISTAN,Salahuddin Rabbani,Minister for Foreign Affairs of the Islamic Republic of Afghanistan,Salahuddin Rabbani,@SalahRabbani
ALBANIA,Bujar Nishani,President of the Republic of Albania,Bujar Nishani,@bnishaniZyrtare
ALBANIA,Edi Rama,Prime Minister of the Republic of Albania,Edi Rama,@ediramaal
ALBANIA,Ditmir Bushati,Minister for Foreign Affairs of the Republic of Albania,Ditmir Bushati,@ditmirbushati
ALBANIA,Monsieur François Hollande,Co-Princes de la Principauté d’Andorre,François Hollande,@fhollande
ALBANIA,Monsieur Antoni Martí Petit,Chef du Gouvernement de la Principauté d’Andorre,Antoni Marti Petit,@antonimartipeti
ARGENTINA,Excelentísimo Señor Mauricio Macri,Presidente de la República Argentina,Mauricio Macri,@mauriciomacri
ARGENTINA,Zohrab Mnatsakanyan,None,Zohrab Mnatsakanyan,@ZMnatsakanyan
ARGENTINA,Malcolm Turnbull. MP,Prime Minister of the Commonwealth of Australia,Malcolm Turnbull,@TurnbullMalcolm
ARGENTINA,Julie Bishop,Minister for Foreign Affairs of the Commonwealth of Australia,Julie Bishop,@HonJulieBishop
AZERBAIJAN,Ilham Heydar oglu Aliyev,President of the Republic of Azerbaijan,Ilham Aliyev,@presidentaz
AZERBAIJAN,Monsieur Charles Michel,Premier Ministre du Royaume de Belgique,Charles Michel,@CharlesMichel
AZERBAIJAN,Monsieur Aurélien Agbenonci,Ministre des Affaires étrangères et de la Coopération de la République du Bénin,Présidence du Bénin,@PresidenceBenin
BOLIVIA (PLURINATIONAL STATE OF),Evo Morales Ayma,Presidente Constitucional del Estado Plurinacional de Bolivia,Evo Morales Ayma,@evoespueblo
BOLIVIA (PLURINATIONAL STATE OF),Mr. Denis Zvizdić,Chairman of the Council of Ministers of Bosnia and Herzegovina,Dr Denis Zvizdić,@DrZvizdic
BOLIVIA (PLURINATIONAL STATE OF),Ms. Pelonomi Venson-Moitoi,Minister for Foreign Affairs and International Cooperation of the Republic of Botswana,Pelonomi Venson-Moitoi,@VensonMoitoi
BRAZIL,Michel Temer,President of the Federative Republic of Brazil ad interim,Michel Temer,@MichelTemer
BRAZIL,Mr. José Serra,Minister for External Relations of the Federative Republic of Brazil,José Serra,@joseserra_
BRAZIL,Boyko Borissov,Prime Minister of the Republic of Bulgaria,Boyko Borissov,@BoykoBorissov
BRAZIL,Daniel Mitov,Minister for Foreign Affairs of the Republic of Bulgaria,Daniel Mitov,@DanielMitov
CAMEROON,Monsieur Paul Biya,Président de la République du Cameroun,President Paul BIYA,@PR_Paul_BIYA
CAMEROON,Justin Trudeau,Prime Minister of Canada,Justin Trudeau,@JustinTrudeau
CAMEROON,Stéphane Dion,Minister for Foreign Affairs of Canada,Stéphane Dion,@AmbStephaneDion
CAMEROON,Monsieur Moussa Faki Mahamat,Ministre des Affaires étrangères et de l’intégration africaine de la République du Tchad,Moussa Faki Mahamat,@AUC_MoussaFaki
CAMEROON,Excelentísimo Señor Heraldo Muñoz,Ministro de Relaciones Exteriores de la República de Chile,Heraldo Muñoz,@HeraldoMunoz
COLOMBIA,Juan Manuel Santos Calderón,Presidente de la República de Colombia,Juan Manuel Santos,@JuanManSantos
CONGO,Monsieur Denis Sassou Nguesso,Président de la République du Congo,Denis Sassou Nguesso,@SassouCG
COTE D'IVOIRE,Monsieur Alassane Ouattara,Président de la République de Côte d'Ivoire,Alassane Ouattara,@AOuattara_PRCI
CROATIA,Ms. Kolinda Grabar-Kitarović,President of the Republic of Croatia,Kolinda GK,@KolindaGK
CROATIA,None,Ministerio de Relaciones Exteriores de la República d,Cancillería de Cuba,@CubaMINREX
CYPRUS,Mr. Nicos Anastasiades,President of the Republic of Cyprus,Nicos Anastasiades,@AnastasiadesCY
CYPRUS,Mr. Ioannis Kasoulides,Minister for Foreign Affairs of the Republic of Cyprus,Ioannis Kasoulides,@IKasoulides
CYPRUS,Lubomír Zaorálek,Minister for Foreign Affairs of the Czech Republic,Lubomír Zaorálek,@ZaoralekL
CYPRUS,Mr. Lars Løkke Rasmussen,Prime Minister of Denmark,Lars Løkke Rasmussen,@larsloekke
CYPRUS,Mr. Kristian Jensen,Minister for Foreign Affairs of Denmark,Kristian Jensen,@Kristian_Jensen
DJIBOUTI,Monsieur Ismaël Omar Guelleh,Président de la République de Djibouti et Chef du Gouvernement,Ismail Omar Guelleh,@IsmailOguelleh
DOMINICAN REPUBLIC,Danilo Medina Sánchez,Presidente de la República Dominicana,Danilo Medina,@DaniloMedina
DOMINICAN REPUBLIC,Miguel Vargas Maldonado,Ministro de Relaciones Exteriores de la República Dominicana,Miguel Vargas,@MiguelVargasM
ECUADOR,Rafael Correa,Presidente Constitucional de la República del Ecuador,Rafael Correa,@MashiRafael
ECUADOR,Guillaume Long,Ministro de Relaciones Exteriores y Movilidad Humana de la República del Ecuador,Guillaume Long,@GuillaumeLong
EGYPT,Mr. Abdel Fattah Al Sisi,President of the Arab Republic of Egypt,Abdelfattah Elsisi,@AlsisiOfficial
EL SALVADOR,Salvador Sánchez Cerén,Presidente de la República de El Salvador,Salvador Sánchez Cerén,@sanchezceren
ESTONIA,Mr. Toomas Hendrik Ilves,President of the Republic of Estonia,toomas hendrik ilves,@IlvesToomas
ESTONIA,Mr. Taavi Rõivas,Prime Minister of the Republic of Estonia,Taavi Rõivas,@TaaviRoivas
ESTONIA,Mrs. Marina Kaljurand,Minister for Foreign Affairs of the Republic of Estonia,Marina Kaljurand MEP,@MarinaKaljurand
ESTONIA,Tedros Adhanom Ghebreyesus,Minister for Foreign Affairs of the Federal Democratic Republic of Ethiopia,Tedros Adhanom Ghebreyesus,@DrTedros
FINLAND,Sauli Niinistö,President of the Republic of Finland,Sauli Niinistö,@niinisto
FINLAND,Juha Sipilä,Prime Minister of the Republic of Finland,Juha Sipilä,@juhasipila
FRANCE,Monsieur François Hollande,Président de la République française,François Hollande,@fhollande
FRANCE,Monsieur Manuel Valls,Premier Ministre de la République française,Manuel Valls,@manuelvalls
FRANCE,Monsieur Jean-Marc Ayrault,Ministre des affaires étrangères et du développement international de la République française,Jean-Marc Ayrault,@jeanmarcayrault
GABON,Monsieur Ali Bongo Ondimba,Président de la République gabonaise,Ali Bongo Ondimba,@PresidentABO
GABON,Giorgi Kvirikashvili,Prime Minister of Georgia,Giorgi Kvirikashvili,@KvirikashviliGi
GABON,Mikheil Janelidze,Minister for Foreign Affairs of Georgia,Mikheil Janelidze,@JanelidzeMkh
GHANA,John Dramani Mahama,President of the Republic of Ghana,John Dramani Mahama,@JDMahama
GHANA,Alexis Tsipras,Prime Minister of the Hellenic Republic,Alexis Tsipras,@tsipras_eu
GHANA,Alexis Tsipras,Prime Minister of the Hellenic Republic,Αλέξης Τσίπρας - Alexis Tsipras,@atsipras
GUATEMALA,Jimmy Morales,Presidente de la República de Guatemala,Jimmy Morales,@jimmymoralesgt
HONDURAS,Juan Orlando Hernández Alvarado,Presidente de la República de Honduras,Juan Orlando H.,@JuanOrlandoH
INDIA,Pranab Mukherjee,President of the Republic of India,Pranab Mukherjee,@CitiznMukherjee
INDIA,Narendra Modi,Prime Minister of the Republic of India,Narendra Modi,@narendramodi
INDIA,Sushma Swaraj,Minister for External Affairs of the Republic of India,Sushma Swaraj,@SushmaSwaraj
INDONESIA,Joko Widodo,President of the Republic of Indonesia,Joko Widodo,@jokowi
IRAN (ISLAMIC REPUBLIC OF),Hassan Rouhani,President of the Islamic Republic of Iran,Hassan Rouhani,@HassanRouhani
IRAN (ISLAMIC REPUBLIC OF),M. Javad Zarif,Minister for Foreign Affairs of the Islamic Republic of Iran,Javad Zarif,@JZarif
IRAN (ISLAMIC REPUBLIC OF),Haider Al Abadi,Prime Minister of the Republic of Iraq,Haider Al-Abadi حيدر العبادي,@HaiderAlAbadi
IRELAND,Michael D. Higgins,President of Ireland,Michael D Higgins,@MichaelDHiggins
IRELAND,Enda Kenny T.D.,Taoiseach of Ireland,Enda Kenny,@EndaKennyTD
ISRAEL,Reuven Rivlin,President of the State of Israel,Reuven Rivlin,@PresidentRuvi
ISRAEL,Benjamin Netanyahu,Prime Minister. Minister for Foreign Affairs. Minister for the Economy. Minister for Communications. and Minister for Regional Cooperation of the State of Israel,Benjamin Netanyahu,@netanyahu
ISRAEL,Monsieur Matteo Renzi,Président du Conseil des Ministres de la République italienne,Matteo Renzi,@matteorenzi
ISRAEL,Monsieur Paolo Gentiloni,Ministre des Affaires étrangères et de la Coopération internationale de la République italienne,Paolo Gentiloni,@PaoloGentiloni
JAMAICA,Sir Patrick Allen. ON. GCMG. CD. KStJ,Governor-General of Jamaica,Patrick Allen,@RPatrickAllen
JAMAICA,Andrew Holness. ON. MP,Prime Minister of Jamaica，Minister of Defence. Economic Growth and Job Creation,Andrew Holness,@AndrewHolnessJM
JAMAICA,Shinzo Abe,Prime Minister of Japan,安倍晋三,@AbeShinzo
JAMAICA,Nasser Judeh,Deputy Prime Minister and Minister for Foreign and Expatriate Affairs of the Hashemite Kingdom of Jordan,Nasser S. Judeh,@NasserJudeh
KAZAKHSTAN,Nursultan A. Nazarbayev,President of the Republic of Kazakhstan,Qasym-Jomart Toqayev,@TokayevKZ
KAZAKHSTAN,Karim Massimov,Prime Minister of the Republic of Kazakhstan,Карим Масимов,@KarimMassimov
KENYA,Uhuru Kenyatta. CGH,President and Commander-in-Chief of the Defence Forces of the Republic of Kenya,David Nzioka,@ndayvid
