id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,mentions
1254681226146770945,turnbullmalcolm,2020-04-27,15:58:09,Jess I am reading your book now. It’s outstanding. Strongly recommend it.,,,5,11,160,['jessradio']
1254553414647742464,turnbullmalcolm,2020-04-27,07:30:17,Well said Eytan and thanks to Singapore PM @leehsienloong for making it available - a good example of the international collaboration we need more of to beat this virus. https://twitter.com/eytanlenko/status/1254548627982172160 …,,,11,11,90,['leehsienloong']
1254394094375198720,turnbullmalcolm,2020-04-26,20:57:12,Thank you Eman.,,,0,0,2,['emanhalilovic']
1254365846849220609,turnbullmalcolm,2020-04-26,19:04:57,#covidsafe ✅,,,60,43,888,[]
1254355229308420096,turnbullmalcolm,2020-04-26,18:22:46,Thank you teachers! #teachersrock https://twitter.com/annabelcrabb/status/1254320164960530442 …,,,26,53,442,[]
1254195683608780800,turnbullmalcolm,2020-04-26,07:48:47,"The borderless world we once knew is rapidly disappearing in the age of Covid-19, writes the Journal’s chief foreign affairs correspondent @yarotrof https://www.wsj.com/articles/a-world-of-hardening-borders-11587135761 …",,,29,12,71,['yarotrof']
1254193280524226560,turnbullmalcolm,2020-04-26,07:39:14,The Economist | How previous contagions changed cities via @TheEconomist https://www.economist.com/node/21784488?frsc=dg%7Ce …,,,8,12,60,['theeconomist']
1254173399749812224,turnbullmalcolm,2020-04-26,06:20:14,Malcolm Turnbull in Conversation with Annabel Crabb - 7 pm Monday. https://www.swf.org.au/festivals/2020-21/malcolm-turnbull-in-conversation-with-annabel-crabb/ …,,,22,11,123,[]
1253798224944435200,turnbullmalcolm,2020-04-25,05:29:25,via @NYTimes https://www.nytimes.com/2020/04/24/nyregion/phil-murphy-coronavirus.html?referringSource=articleShare …,,,3,2,17,['nytimes']
1253525195760865280,turnbullmalcolm,2020-04-24,11:24:30,Of course I shouldn’t expect civility on twitter. Far too idealistic,,,166,8,43,"['yathinkn', 'noplaceforsheep']"
