id,username,date,time,tweet
1169640991319560193,geoffreyonyeama,2019-09-05,23:58:37,"Received Special Representative of H.E. President Xi Jinping, President of the People's Republic of #China, H.E. Yang Jiechi, Member of the Political Bureau of the Communist Party of China (CPC) Central Committee and Director of Office of Central Commission for Foreign Affairs.  pic.twitter.com/kcqQu98Xu6"
1056930050287828993,geoffreyonyeama,2018-10-29,23:25:35,"Today, i received H.E. Chen Xiaodong, Assistant Foreign  Minister of #China and Co- Chair #FOCAC7 Summit follow up Committee. @KhadijaBukar @AsoRock @DigiCommsNG 🇳🇬🇨🇳 pic.twitter.com/9Z3VYUr3cG"
1037574769758089218,geoffreyonyeama,2018-09-06,13:34:36,"At the round table meeting on #FOCAC chaired by H.E. President Xi Jinping, President of the People's Republic of #China. #FOCAC #PMBinChina2018 #PMBAtFOCAC7 pic.twitter.com/wZwo8qnmhY"
1036695820144398337,geoffreyonyeama,2018-09-04,03:21:59,"H.E. President @MBuhari held an interactive session with the Nigerian Community in China at the Nigerian Embassy in #Beijing. Gov, @OfficialJGSG,  H.E. Mumhammad B.  Abubakar, Nigerian Amb. To China, Amb. Baba Ahmed Jidda, Sen. Udoma, Minister @KDMobp. #FOCAC #PMBinChina2018 pic.twitter.com/AIPlDfFoLa"
1027920714672861184,geoffreyonyeama,2018-08-10,22:12:50,"Held a meeting today with H.E. Mr. Zhou Pingjian, Ambassador of the People's Republic of #China to Nigeria. Discussed the programme for the upcoming Forum on China-Africa Cooperation. #FOCAC Beijing Summit 2018 🇳🇬🇨🇳 #FOCAC2018 pic.twitter.com/1b8oPE9wXO"
1002602705553100800,geoffreyonyeama,2018-06-02,01:28:07,"Discussed ways of strengthening mutually beneficial relations when i met with Dr. Zhou Pingjian, Ambassador of the People's Republic of #China to Nigeria. 🇳🇬🇨🇳  pic.twitter.com/pC0ujl19OJ"
971823669461815303,geoffreyonyeama,2018-03-09,03:03:13,"H.E. Dr. Zhou Pingjian, Ambassador of the People's Republic of China to Nigeria visited me at @MFA_Nigeria. Discussed bilateral relations between the two countries. pic.twitter.com/HRm3JXdx8E"
959094120370319360,geoffreyonyeama,2018-02-02,00:00:32,It is heartwarming to know that Nigerians sponsored on a training programme in China by the company are competing very favourably with other beneficiaries of the programme from other parts of the world.
926125685843820544,geoffreyonyeama,2017-11-03,00:35:44,"Received H.E, Amb. Zhou Ping Jian, Amb of The People's Republic of China to Nigeria, former Vice Minister & former ambassadors to Nigeria.  pic.twitter.com/7jZ8UizOO3"
915979627469983744,geoffreyonyeama,2017-10-06,00:38:55,"Recd H.E, Zhou Pingjian, Chinese Amb. to Nigeria. We will continue to engage with China but need to balance Co-operation by exporting more.  pic.twitter.com/Sp9mgzDwPD"
879058354626334720,geoffreyonyeama,2017-06-26,03:26:58,Deep sympathy and condolences to Government and people of PR China on deadly landslide. @TheChineseGovt @Chinamission2un @AsoRock pic.twitter.com/sJujsXFv3K
867717248181579778,geoffreyonyeama,2017-05-25,20:21:28,6. Working on  Prisoner transfer agreement with China. @MFA_Nigeria @AsoRock pic.twitter.com/b1ZWgM3My0
856542749125902337,geoffreyonyeama,2017-04-25,00:17:59,In audience with Dr. Zhou Pingjian; discussed China - Nigeria relations. @MFA_Nigeria @ZPingjian @ReutersChina @AsoRock pic.twitter.com/cQTObm2iaR
819615290463907841,geoffreyonyeama,2017-01-13,02:41:27,Held topical press briefing on growing Nigeria-China relations - @MFA_Nigeria - with my counterpart: Wang Yi: Foreign Minister of China.  pic.twitter.com/KVMtcNVWIU
819611665712836608,geoffreyonyeama,2017-01-13,02:27:03,China is Nigeria's partner in development and economic progress. We welcome this visit by Foreign Minister Wang Yi. @DigiCommsNG #Nigeria pic.twitter.com/ms3LkSdQbV
819604171779248128,geoffreyonyeama,2017-01-13,01:57:16,"On hand, as @NGRPresident @MBuhari received Foreign Minister: Wang Yi of China and his Investments Delegation. #Economy #SDGs @DigiCommsNG pic.twitter.com/0cdNT30e77"
819233564898181120,geoffreyonyeama,2017-01-12,01:24:37,"With Chinese Foreign Minister Wang Yi, signed entente sustaining Nigeria one China policy, @MFA_Nigeria, today.  http://thenationonlineng.net/nigeria-china-signs-one-china-policy … pic.twitter.com/OHcr36jFjY"
802607502697238530,geoffreyonyeama,2016-11-27,04:18:35,His Excellency: Chao Xiaoliang: Chinese Consul General in Lagos presented his Letter of Commission. @XHNews @PDChina  http://lagos.china-consulate.org  pic.twitter.com/S692SNFMfI
788512525524488192,geoffreyonyeama,2016-10-19,06:50:10,"There, as @NGRPresident welcomed HE Zhou Pingjian; new Ambassador of China to Nigeria:  http://ng.china-embassy.org/eng/sgxx/lxwm  @MFA_Nigeria @ChinaMission2UN pic.twitter.com/zLR6etvd7y"
779443373555933184,geoffreyonyeama,2016-09-24,06:12:36,¡Felicidades Ecuador; elected President #G77+China:  http://www.g77.org/doc  #UNGA @GuillaumeLong @CancilleriaEC:  http://www.cancilleria.gob.ec/en/ecuador-assumes-presidency-of-the-g77-china-in-the-united-nations-assembly … pic.twitter.com/R08wjtNbQg
727584030518960128,geoffreyonyeama,2016-05-04,03:42:05,"#Watch my Matters Arising interview @NTANewsNow on @NGRPresident's #China-Visit, #Yuan, etc:  https://youtu.be/L0sKO2WNw9M  pic.twitter.com/9z1ouFQWbf"
724603774770122752,geoffreyonyeama,2016-04-25,22:19:37,#Post-#PMBinChina: #FGNTownHall: My beloved colleague @Dr_OgbonnayaOnu on #Nigeria-#China @NGRPresident @NTANewsNow: https://youtu.be/QbYMiBdFCmg 
723591453214044160,geoffreyonyeama,2016-04-23,03:17:00,#CommonwealthMatters: 2.2 billion lives; more than China+USA+Russia+France+Brazil. @CommonwealthSec @PScotlandCSG pic.twitter.com/nj32NKU7sN
721398868374454273,geoffreyonyeama,2016-04-17,02:04:27,"#Foreign Gains: $600M:#USA, $69M:#Hungary, $6B+:#China: @NGRPresident acts wisely! Beloved #Nigerians are watching: pic.twitter.com/MzUOlx0rQL"
721360719967440897,geoffreyonyeama,2016-04-16,23:32:52,"Compatriots, kindly reason with me; and reflect on @NGRPresident's visit to #China with our Pre-China-Visit-Aims:  pic.twitter.com/yYeIetfsit"
720997475104854016,geoffreyonyeama,2016-04-15,23:29:28,#Nigeria welcomes 1st Human Rights Consultation between #China + @_AfricanUnion @AUC_DPA @MatlosaKhabele #OneAfrica! pic.twitter.com/TEll0ZKrHb
720957538892533761,geoffreyonyeama,2016-04-15,20:50:46,#insightful visit to #COMAC: Commercial Aircraft Corporation of China #Shanghai with @NGRPresident #PMBinChina! pic.twitter.com/VpXkt2WDRx
720940224306483200,geoffreyonyeama,2016-04-15,19:41:58,More views from #NigeriaChina45 with my friend: Chinese FM: Wang Yi. #PMBinChina! #Nigeria #China #Diplomacy #SDGs! pic.twitter.com/fMF16di9Wk
720782287923716096,geoffreyonyeama,2016-04-15,09:14:23,"With #Nigeria's #sovereignty intact, #China supports our economic strategy for sustainable development. #PMBinChina! pic.twitter.com/CLk5b8UBS7"
720754469256859648,geoffreyonyeama,2016-04-15,07:23:51,Unveiling a commemorative stamp upholding #NigeriaChina45 with FM: Wang Yi. #Nigeria-#China #PMBinChina #Diplomacy pic.twitter.com/QaPw4z5AgK
720752036803776512,geoffreyonyeama,2016-04-15,07:14:11,#NigeriaChina45: Celebrating #Nigeria + #China at 45 with FM: Wang Yi. #PMBinChina! #Diplomacy #Partnership #Growth! pic.twitter.com/EgySFBEBcV
720714995835674624,geoffreyonyeama,2016-04-15,04:46:59,"Briefing media on the $6 billion credit-line from #China, and their support for #Nigeria's development: #PMBinChina! pic.twitter.com/5qUIFh4fVP"
720644496933785600,geoffreyonyeama,2016-04-15,00:06:51,"And with President #Buhari @NGRPresident, we've moved to #Shanghai #PMBinChina #Nigeria-#China #Development #Trade pic.twitter.com/UgrhGih0Sm"
720417269990297601,geoffreyonyeama,2016-04-14,09:03:56,Abiding economic prosperity of #Nigerians is our patriotic priority! #PMBinChina! My talks with China's FM: Wang Yi:  pic.twitter.com/ae4q6a4ws6
720407860606148609,geoffreyonyeama,2016-04-14,08:26:33,Beloved #Nigerians deserve exceptional better! #China is a win-win partner: #NigeriaChina45: #PMBinChina! #Nigeria! pic.twitter.com/6EgEU15Zs3
720399037921304577,geoffreyonyeama,2016-04-14,07:51:29,#China extremely values #Nigeria; and we are grateful to have a friend like China: #NigeriaChina45 #PMBinChina! pic.twitter.com/757Z8DDtjO
720274385978830848,geoffreyonyeama,2016-04-13,23:36:10,"We have a $6 billion credit-line from #China, for viable infrastructural projects benefiting #Nigerians #PMBinChina! pic.twitter.com/H0soqL6vfN"
720237788994535424,geoffreyonyeama,2016-04-13,21:10:44,With @elrufai and others as @NGRPresident met with our beloved #Nigerians in #China at Nigerian House: #PMBinChina! pic.twitter.com/4hJuAinjcm
720233785313263620,geoffreyonyeama,2016-04-13,20:54:50,"Earlier, our MFA Permanent Secretary: Paul Bulus Zom Lolo met #China's Assistant FM: Qian Hongshan on #PMBinChina pic.twitter.com/JZA2rp9MII"
720074396463812608,geoffreyonyeama,2016-04-13,10:21:29,Being introduced to President #XiJinping by @NGRPresident: #Nigeria-#China: @cctvnews #PMBinChina #Diplomacy! pic.twitter.com/PHK3GaETVH
719939366953422848,geoffreyonyeama,2016-04-13,01:24:55,"Indeed, we welcome #China's valuable #partnership with #Nigeria. @XHNews @PDChina #PMBinChina #Economy #Development https://twitter.com/XHNews/status/719914476489846789 …"
719927553222250497,geoffreyonyeama,2016-04-13,00:37:58,President Xi Jinping welcoming President #Buhari @NGRPresident to the Great Hall of the People #China. #PMBinChina pic.twitter.com/waQWddtcSh
719907749669130240,geoffreyonyeama,2016-04-12,23:19:17,"Today, with @NGRPresident and @elrufai within the Forbidden City in the centre of #Beijing: #China. #PMBinChina! pic.twitter.com/KtdQDLbOCc"
719904271638990848,geoffreyonyeama,2016-04-12,23:05:28,With @NGRPresident at the Forbidden City - #China's Ming - Qing Dynasties: 1420-1912 Imperial Palace. #PMBinChina pic.twitter.com/1T9fDsRKQY
719892633011683331,geoffreyonyeama,2016-04-12,22:19:13,At the opening of #China-#Nigeria Business and Investment Forum by @NGRPresident in #Beijing: #PMBinChina! pic.twitter.com/Iue1kYqzVM
719703752236621824,geoffreyonyeama,2016-04-12,09:48:40,We value the #China-#Nigeria Business and Investment Forum which @NGRPresident will open in #Beijing: #PMBinChina! pic.twitter.com/XgooHMqcR7
719651366214307842,geoffreyonyeama,2016-04-12,06:20:30,"In #China, briefing Nigerians @NTANewsNow, on @NGRPresident's RBM infrastructural development diplomacy! #PMBinChina pic.twitter.com/MqeMB09H9L"
719566369222561792,geoffreyonyeama,2016-04-12,00:42:45,Gladly #greeting President #Buhari on his arrival in #China this 11 April. #Nigeria: #Development: #PMBinChina! pic.twitter.com/DyMGU8ebDN
719562142983139328,geoffreyonyeama,2016-04-12,00:25:58,Full #Chinese Military Guard of Honour as President #Buhari steps out of the Presidential Jet in #China. #Nigeria! pic.twitter.com/y272NAOCxv
719527431720161281,geoffreyonyeama,2016-04-11,22:08:02,Being welcomed to #China on his arrival in #Beijing is President #Buhari @NGRPresident #Nigeria pic.twitter.com/pMSmuKK08Z
719485358119911425,geoffreyonyeama,2016-04-11,19:20:51,#Agriculture is on @NGRPresident's priority list. We're in #China as partners for the economic progress of #Nigeria! https://twitter.com/agrifoodaid/status/718161997406347264 …
719045459503755265,geoffreyonyeama,2016-04-10,14:12:51,"Please, note the Theme and Main Objectives of President #Buhari's State Visit to #China. @NGRPresident #Nigeria: pic.twitter.com/wPSe0xuJyA"
718819871492956164,geoffreyonyeama,2016-04-09,23:16:27,#Nigeria-#China: #Watch my pre-analysis-#video on @NGRPresident's 11-15 April China visit:  https://drive.google.com/file/d/0BwhKr92WxLQLVTBjbGJSRDhIaHM/view?usp=sharing … pic.twitter.com/zzUC2fIvad
718569229549572096,geoffreyonyeama,2016-04-09,06:40:29,"11-15 April #China Visit: @NGRPresident will prioritize agriculture, power, infrastructure, transport, road #Nigeria pic.twitter.com/i77XImneAQ"
718535068256305152,geoffreyonyeama,2016-04-09,04:24:44,"On @NGRPresident's 11-15 April #China visit, I remember @BBCNews' objective piece:  http://www.bbc.com/news/world-africa-34962106 … #Nigeria pic.twitter.com/xSaDGWwSAy"
716322959028170753,geoffreyonyeama,2016-04-03,01:54:36,Read our #NuclearSecuritySummit Communiqué:  http://tinyurl.com/jxg3sj8  @NSS2016 @IAEAOrg @CNNBRK @AP @XHNews @BBCWorld pic.twitter.com/O82hABDdoY
708828233442037760,geoffreyonyeama,2016-03-13,09:33:14,My Conversation @NTANewsNow on #Nigeria's Foreign Policy:  https://www.youtube.com/watch?v=QkcVTSkoUqk … @NGRPresident @UN @_AfricanUnion @cnnbrk @BBCWorld @XHNews
