id,username,date,time,tweet
1110372001296715776,honjuliebishop,2019-03-26,10:44:49,We must engage with China as equal partners - reciprocity and compromise are essential to a constructive mutually beneficial relationship. Discussing @ChinaMattersAus #NewChinaNarrative @PressClubAust 🇦🇺🇨🇳 pic.twitter.com/MrIjBSMOBo
1031858223513366528,honjuliebishop,2018-08-21,18:59:06,Great evening at Chinese Embassy with MPs & Senators of the #AustralianParliamentaryfriendshipgroup hosted by #China Ambassador Cheng 🇦🇺🇨🇳  pic.twitter.com/Xc3DNxIXfU
1025381125995126784,honjuliebishop,2018-08-03,22:01:25,Good to meet with #China FM Wang Yi ahead of #EastAsiaSummit tomorrow #Singapore @ASEAN2018 🇦🇺🇨🇳 pic.twitter.com/advCLmvF8h
1008533910303604736,honjuliebishop,2018-06-18,10:16:36,Great to meet members of #AusCham Shanghai - Australia’s peak body for over 400 Australian businesses in China 🇦🇺🇨🇳 #ParliamentHouse #Canberra pic.twitter.com/laa80UzNMc
998386109460729856,honjuliebishop,2018-05-21,10:12:52,In #Argentina for #G2018 to discuss global🌏economic & political issues & meeting up with ministerial colleagues. Warm discussion with #China FM #WangYi ahead of tomorrow’s formal meetings 🇨🇳🇦🇺 #BuenosAires #G20 pic.twitter.com/LgLHWzjgQ4
996295964070559744,honjuliebishop,2018-05-15,15:47:22,"Delighted to acknowledge #FMG’s 15 years of operations, 10th anniversary of first iron ore shipment to #China from Cloudbreak Mine and 1 billion tonnes of ore shipped #Pilbara #WesternAustralia @FortescueNews pic.twitter.com/LAy2xjxhyB"
943717285314756608,honjuliebishop,2017-12-21,13:38:28,Celebrating 45yrs of diplomatic relations with #China - Comprehensive Strategic Partnership underpinned by strong #trade #education #tourism links 🇦🇺🇨🇳  https://foreignminister.gov.au/releases/Pages/2017/jb_mr_171221a.aspx …
933876689418911744,honjuliebishop,2017-11-24,09:55:28,"Launching collection of stories showcasing the people-people connections that support Aust-#China relationship, marking 45yrs of formal diplomatic relations 🇦🇺🇨🇳  https://foreignminister.gov.au/releases/Pages/2017/jb_mr_171124.aspx …"
933861103381069824,honjuliebishop,2017-11-24,08:53:32,Celebrating 45 years of diplomatic relations @ third Australia-China High-Level Dialogue 🇦🇺🇨🇳 #China #Australia #FPWhitepaper pic.twitter.com/JON7FKNHyf
933647512526757889,honjuliebishop,2017-11-23,18:44:47,Celebrating 45th anniversary relations @ Australia-China High Level Dialogue - a valued strategic partnership 🇦🇺🇨🇳  pic.twitter.com/524tUoEJCJ
856393056353787905,honjuliebishop,2017-04-24,14:23:10,Joint statement w Attorney-General outlining key outcomes from inaugural Aust-China High Level Security Dialogue 🇦🇺🇨🇳 http://foreignminister.gov.au/releases/Pages/2017/jb_mr_170424a.aspx …
842528242049331201,honjuliebishop,2017-03-17,08:09:20,"Congrats Warwick Smith reappointed Chair Aust-#China Council, fostering people-people links with key partner 🇦🇺🇨🇳  http://foreignminister.gov.au/releases/Pages/2017/jb_mr_170317.aspx …"
828479762469302274,honjuliebishop,2017-02-06,13:45:42,"Looking forward to co-chairing Australia-#China Foreign & Strategic Dialogue w FM #WangYi, further deepen 🇦🇺🇨🇳 ties  http://foreignminister.gov.au/releases/Pages/2017/jb_mr_170206.aspx …"
