id,username,date,time,tweet
1137181342515335170,leehsienloong,2019-06-08,10:15:34,"Fielded questions on China, trade tensions, the global economic outlook, the next GE & more at a ‘fireside chat’ at the Business China Awards 2019 event last night. Congratulations to all the award winners! – LHL  http://bit.ly/2wJWUXP  pic.twitter.com/MlSdV9u592"
1128632753115713538,leehsienloong,2019-05-15,20:06:31,"President Halimah spoke at the Conference on Dialogue of Asian Civilisations in China tdy. She described how hard Singapore has worked to build racial & religious harmony. It will always be a work in progress, but it is well worth our utmost effort. – LHL  http://str.sg/oVWr "
1124498145147117569,leehsienloong,2019-05-04,10:17:04,"Today marks the centenary of China’s May 4 Movement - a turning point in their history. It stoked an age of ambition & patriotism, & the determination that China must never again be humiliated on the world stage. – LHL  http://bit.ly/2J0hVp8 "
1124253097893609472,leehsienloong,2019-05-03,18:03:20,Stopped to smell the tulips on a #jalanjalan to @GardensByTheBay before my China trip. Lifts the spirit to see so many vivid blooms on display! – LHL 🌷🌷🌷  http://bit.ly/2Wllo4T  pic.twitter.com/RdsIWkSwT5
1121707633075822594,leehsienloong,2019-04-26,17:28:34,"Watch PM Lee's speech at the 2nd Belt and Road Forum for International Cooperation High-Level Meeting in Beijing, China. He shared about the importance of trade and connectivity to strengthen regional and multilateral growth.   http://bit.ly/2IXLzuk "
1121572353261969408,leehsienloong,2019-04-26,08:31:01,Am in Beijing for the 2nd Belt and Road Forum. Sat down for an interview with @XHNews earlier this week ahead of my visit. You can read the interview (in English & Chinese) here:  http://on.pmo.sg/2ZsTl5p  – LHL pic.twitter.com/8dtE7zlVP7
1043123023853772800,leehsienloong,2018-09-21,21:01:23,"Happy to meet Chinese Vice Premier Han Zheng again. He was here leading a delegation for the Joint Council for Bilateral Cooperation, our highest-level forum with China, which is instrumental in overseeing & growing our relationship. – LHL  http://bit.ly/2NsH929  pic.twitter.com/9lNC42aTyw"
1003819388980482048,leehsienloong,2018-06-05,10:02:47,My interview with @ProfTomPlate for South China Morning Post. – LHL  https://bit.ly/2sEak5h  pic.twitter.com/EMjG1Kqilf
986888564578304001,leehsienloong,2018-04-19,16:45:43,Wrote an op-ed for the @washingtonpost on the trade frictions between the US & China. – LHL  https://wapo.st/2JVsO8W 
984234030550806528,leehsienloong,2018-04-12,08:57:33,"Here are some highlights of my visit to China. Had a busy but productive time in Beijing, Bo’ao and Shanghai! 🇸🇬🇨🇳 – LHL  https://bit.ly/2IJoB7a  pic.twitter.com/nAPpNPYLEq"
983567855588294661,leehsienloong,2018-04-10,12:50:25,"PM Lee’s speech at the Bo’ao Forum for Asia. He spoke on China’s growing role in the international system, & the importance of its efforts to uphold openness & multilateralism.  https://youtu.be/uCql7fh85ds "
982972846388342784,leehsienloong,2018-04-08,21:26:03,Am back in Beijing! Had a gd mtg w/ Premier Li Keqiang & signed two MOUs to expand bilateral cooperation. Will be in China over the next few days for more mtgs & the Bo’ao Forum of Asia. 🇸🇬🇨🇳 – LHL  http://bit.ly/2GM3cJT  pic.twitter.com/Z6zMpLZwDQ
969880059673698304,leehsienloong,2018-03-03,18:20:00,"At #SGBudget2018 debate, Workers’ Party MP Mr Low Thia Khiang gave a dispassionate assessment on the rise of China & how SG must respond. – LHL  http://bit.ly/2I2j8sy "
923355807319592960,leehsienloong,2017-10-26,09:09:14,"Shared the SG perspective on our relationship with America, & balance of power btwn US & China at @CFR_org. – LHL https://youtu.be/P2srUSteySg "
910143452226002945,leehsienloong,2017-09-19,22:08:03,A fruitful meeting with Premier Li Keqiang tdy. Look fwd to deeper cooperation between SG & China. – LHL 🇸🇬🇨🇳  http://bit.ly/2w4PCfa  pic.twitter.com/tJryOZvGOh
903196583465910272,leehsienloong,2017-08-31,18:03:40,"Min Shanmugam gave a gd speech on the impact of China’s ‘One Belt, One Road’ initiative, & what it offers SG. – LHL  http://str.sg/4Hp3 "
886053906790334464,leehsienloong,2017-07-15,10:44:48,A good dialogue with participants at the Business China Awards & 10th Anniversary celebrations last night! – LHL  http://bit.ly/2t0qWD1  pic.twitter.com/D2RkesGa3z
791460356669399040,leehsienloong,2016-10-27,10:03:48,"Sat down with @TIME magazine last week for a wide-ranging interview on the US, TPP, China & more. – LHL  http://ti.me/2eFDmwa "
781676058823299076,leehsienloong,2016-09-30,10:04:29,Spoke on China & Japan at the Special Session of the Nikkei Conference on the Future of Asia ytdy. – LHL #SJ50  http://bit.ly/2dqM0ue  pic.twitter.com/ZGYtdkiNm2
773689613302980608,leehsienloong,2016-09-08,09:09:12,"Another full day at e #ASEAN Summit. Met leaders of China, Japan, Korea & Australia. – LHL  http://bit.ly/2ceAzbN  pic.twitter.com/xMXTi6LbdV"
772232428983193601,leehsienloong,2016-09-04,08:38:53,Chongqing: 1 of China's fastest grow9 cities. Glad our 3rd G2G project doing well here.– LHL  http://bit.ly/2co92Tt  pic.twitter.com/XzzCKQv1UX
767340929678094336,leehsienloong,2016-08-21,20:41:48,"Other countries will persuade us to side with them on South China Sea issue, but we have to choose our own place to stand. #ndrsg"
767339792493256704,leehsienloong,2016-08-21,20:37:17,"We don’t take sides on South China Sea dispute. 3 things matter to SG: international law, freedom of navigation & a united ASEAN. #ndrsg"
767338749999013888,leehsienloong,2016-08-21,20:33:09,"SG is also good friends w China. China has been stable & prosperous, which has benefitted Asia & the world. #ndrsg pic.twitter.com/IcQyQLIGaK"
720069749875474432,leehsienloong,2016-04-13,10:03:01,"Here is the transcript of my recent interview with @WSJ. I spoke on the US, China, the TPP & other issues.  http://bit.ly/1S2yURd  – LHL"
702071530839105536,leehsienloong,2016-02-23,18:04:31,Came across an interesting BBC article on China’s women-only mosques. – LHL  http://on.fb.me/1L8hmFx 
623492235644940290,leehsienloong,2015-07-21,21:58:27,Had wide-ranging dialogue on S’pore-China rel’nship at e FutureChina Global Forum tdy. - LHL  http://on.fb.me/1Dsc9iO  pic.twitter.com/beTpaCLXOl
531642612290052097,leehsienloong,2014-11-10,11:00:50,Spoke at CapitaLand’s China-Singapore Dialogue yesterday on relations between our 2 countries. - LHL  https://www.youtube.com/watch?v=COD_rdvZNsQ&list=PLqvAkd0-laMeeV-H7fUN6xqKAtMeEfoMW&index=1 …
511818647728173059,leehsienloong,2014-09-16,18:07:29,Spoke about the growth of ASEAN-China cooperation at opening ceremony of 11th CAEXPO today. - LHL  http://youtu.be/dOra4tRuTCc 
511536363754123267,leehsienloong,2014-09-15,23:25:47,Met China’s Vice Premier Zhang Gaoli this afternoon to reaffirm our strong bilateral ties.-LHL  http://on.fb.me/1pgG05r  pic.twitter.com/HyIki2EJu3
510220683688022017,leehsienloong,2014-09-12,08:17:45,Arrived in Guangzhou yesterday for the first leg of my visit to China. - LHL  http://on.fb.me/1AE5nnW  pic.twitter.com/G59WyWw3p6
489964684720607233,leehsienloong,2014-07-18,10:47:38,Interesting dialogue at FutureChina Global Forum ytday. Gd to continue building links w China.- LHL  http://bit.ly/1yzpKDQ 
462775780439638016,leehsienloong,2014-05-04,10:08:38,"An interesting BBC article on how Chinese language is changing in China, and what it means for us. – LHL  https://www.facebook.com/leehsienloong/posts/703236646405711 …"
405893554519560192,leehsienloong,2013-11-28,10:58:59,Presented Liang Baohua Business China Excellence Award ytd for contributions twds SG-China cooperatn. - LHL  http://on.fb.me/1gk3GUu 
373822664118255616,leehsienloong,2013-08-31,23:00:43,"Just back from China. Here’s a short clip with highlights of my visit to Shenyang, Liaoning yesterday. - LHL  http://www.youtube.com/watch?v=-lOgNmGiqtA …"
373619963396751360,leehsienloong,2013-08-31,09:35:15,"Was in Shenyang, Liaoning for the last leg of my visit to China. - LHL  https://www.facebook.com/media/set/?set=a.569231746472869.1073741875.125845680811480&type=1 …"
372236818244055040,leehsienloong,2013-08-27,13:59:07,"Some highlights from visit to Beijing, China earlier this week.  http://youtu.be/F6rjHuQfjDg "
371418218218287104,leehsienloong,2013-08-25,07:46:18,Off to China. Looking forward to meeting President Xi Jinping and Premier Li Keqiang. - LHL
326223801979387905,leehsienloong,2013-04-22,14:39:49,Saddened to learn abt the Sichuan earthquake in China. Offered condolences to Premier Li Keqiang & the Chinese. – LHL  http://www.facebook.com/photo.php?fbid=509755582420486&set=a.344710778924968.83425.125845680811480&type=1 …
312443110443610112,leehsienloong,2013-03-15,14:00:17,Look fwd to working with China’s new ldrs Xi Jinping & Li Keqiang to take Sino-S'pore relations to new heights. – LHL  http://www.facebook.com/photo.php?fbid=493892990673412&set=a.344710778924968.83425.125845680811480&type=1 …
242089968246341632,leehsienloong,2012-09-02,10:42:00,Leaving today for China & Russia. Looking forward to a good trip. Stay tuned for updates. – LHL  http://www.facebook.com/leehsienloong/posts/408023975926981 …
