id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,pos_neg
1,realdonaldtrump,2020/3/22,18:11:38,So true! https://twitter.com/judgenap/status/1238183192168980482 …,,,1181,2564,9487,Positive
2,realdonaldtrump,2020/3/22,18:07:25,"That doesn’t sound like Michael, does it? https://twitter.com/cvpayne/status/1241360249149370368 …",,,1767,2850,12830,Positive
3,realdonaldtrump,2020/3/22,18:03:36,Maria is Great! https://twitter.com/mariabartiromo/status/1241399132541124612 …,,,1227,2499,11938,Positive
4,realdonaldtrump,2020/3/22,11:56:31, pic.twitter.com/Dc5QLivHWH,,,3348,8275,27992,Positive
5,realdonaldtrump,2020/3/22,11:46:46,Thank you @JennPellegrino @OANN https://twitter.com/teaboots/status/1241437476172038145 …,,,3459,7818,32454,Positive
6,realdonaldtrump,2020/3/22,11:19:31,"Thank you David, so true! https://twitter.com/DavidJHarrisJr/status/1241463929311842304 …",,,4467,19543,85526,Positive
7,realdonaldtrump,2020/3/22,11:14:05,Thank you! https://twitter.com/ryanafournier/status/1241559670222921728 …,,,2858,11259,44090,Positive
8,realdonaldtrump,2020/3/22,10:53:27,CHINESE VIRUS FACT CHECK pic.twitter.com/qJugCylvE2,,,27233,41277,125499,Positive
9,realdonaldtrump,2020/3/22,4:55:14, https://www.pscp.tv/w/cUUk0jFvTlFsTFJub1dwUXd8MXlvS01hcm1OeXpLURdDCWubthqiUbWiZdqeDiETCloTnEtFnBtj-IcEsAj8?t=1m8s …,,,9171,10620,39591,Positive
10,realdonaldtrump,2020/3/22,4:38:21, pic.twitter.com/IPslmvEFjA,,,7134,14609,69625,Positive
11,realdonaldtrump,2020/3/21,22:13:09,"....be put in use IMMEDIATELY. PEOPLE ARE DYING, MOVE FAST, and GOD BLESS EVERYONE! @US_FDA @SteveFDA @CDCgov @DHSgov",,,14740,28245,125322,Positive
12,realdonaldtrump,2020/3/21,22:13:08,"HYDROXYCHLOROQUINE & AZITHROMYCIN, taken together, have a real chance to be one of the biggest game changers in the history of medicine. The FDA has moved mountains - Thank You! Hopefully they will BOTH (H works better with A, International Journal of Antimicrobial Agents).....",,,63299,96437,354362,Positive
13,realdonaldtrump,2020/3/21,21:21:10,"Great story. Thank you to Mr. Young of Jonesboro, Arkansas! https://twitter.com/scavino45/status/1240838576641921024 …",,,4140,11914,49698,Positive
14,realdonaldtrump,2020/3/21,9:58:56, https://www.whitehouse.gov/articles/president-trump-actions-to-confront-pandemic/ …,,,12391,14610,59573,Positive
15,realdonaldtrump,2020/3/21,9:58:17, https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-taking-necessary-safety-measures-border-prevent-spread-coronavirus/ …,,,9934,12392,56359,Positive
16,realdonaldtrump,2020/3/21,4:22:12,"Today I spoke with our Nation’s Small Businesses, which employ nearly half of America’s workforce. We are taking the MOST aggressive action in history to deliver fast relief to your businesses and workers. We will always protect our Small Businesses! @SBAgov https://twitter.com/ivankatrump/status/1241095451883065344 …",,,17522,22475,98016,Negative
17,realdonaldtrump,2020/3/21,2:45:23, pic.twitter.com/ytgBP3hJv1,,,15657,31519,123576,Positive
18,realdonaldtrump,2020/3/20,12:41:00,A Great Guy! https://twitter.com/senatortimscott/status/1240042379748524033 …,,,2772,8575,42486,Positive
19,realdonaldtrump,2020/3/20,12:37:18,"Steve is one of the very best in the Senate. He is competing against a failed Democrat Presidential candidate who never got close to 1%, and was sent packing. Had to be talked into this run by Schumer. Bad for 2nd A! I strongly Endorse @SteveDaines! https://twitter.com/SenateGOP/status/1240315121383231489 …",,,10632,14645,55578,Positive
20,realdonaldtrump,2020/3/20,7:31:33, https://www.whitehouse.gov/articles/president-trump-nothing-will-stand-in-our-way/ …,,,7933,14243,64068,Positive
21,realdonaldtrump,2020/3/20,6:23:48,"America’s Private Sector is stepping up to help us be STRONG! Many of the Nation’s distillers, large and small, are producing and donating hand sanitizer to help fight #COVID19. THANK YOU! https://www.nbcnews.com/news/us-news/distilleries-using-high-proof-alcohol-make-hand-sanitizer-n1161371 …",,,6464,20925,86335,Negative
22,realdonaldtrump,2020/3/20,6:16:29,"THANK YOU to our Police Officers, Fire Fighters, and EMS who help us defeat the Virus every day. Our proud nation is grateful for the unwavering dedication and sacrifice of our First Responders and their families. TOGETHER we will beat this!",,,13892,40042,225741,Positive
