date,num
2017/1/20,3
2017/1/21,12
2017/1/22,4
2017/1/23,1
2017/1/24,1
2017/1/25,10
2017/1/26,8
2017/1/27,5
2017/1/28,9
2017/1/29,3
2017/1/30,10
2017/1/31,4
2017/2/1,4
2017/2/2,7
2017/2/3,7
2017/2/4,7
2017/2/5,5
2017/2/6,6
2017/2/7,5
2017/2/8,7
2017/2/9,12
2017/2/10,3
2017/2/11,5
2017/2/12,11
2017/2/13,2
2017/2/14,5
2017/2/15,9
2017/2/16,10
2017/2/17,6
2017/2/18,5
2017/2/20,3
2017/2/21,2
2017/2/22,4
2017/2/24,6
2017/2/25,5
2017/2/26,5
2017/2/27,2
2017/2/28,3
2017/3/1,3
2017/3/2,1
2017/3/3,6
2017/3/4,12
2017/3/5,2
2017/3/6,1
2017/3/7,11
2017/3/8,4
2017/3/9,2
2017/3/10,4
2017/3/11,1
2017/3/13,2
2017/3/14,4
2017/3/15,6
2017/3/16,5
2017/3/17,7
2017/3/18,2
2017/3/20,6
2017/3/21,3
2017/3/22,4
2017/3/23,3
2017/3/24,4
2017/3/25,5
2017/3/26,2
2017/3/27,1
2017/3/28,7
2017/3/29,5
2017/3/30,5
2017/3/31,8
2017/4/1,8
2017/4/2,7
2017/4/3,5
2017/4/4,3
2017/4/5,3
2017/4/6,2
2017/4/7,1
2017/4/8,3
2017/4/9,4
2017/4/10,1
2017/4/11,5
2017/4/12,4
2017/4/13,6
2017/4/14,1
2017/4/15,1
2017/4/16,5
2017/4/17,5
2017/4/18,7
2017/4/19,4
2017/4/20,4
2017/4/21,5
2017/4/22,3
2017/4/23,10
2017/4/24,5
2017/4/25,6
2017/4/26,7
2017/4/27,13
2017/4/28,4
2017/4/29,4
2017/4/30,6
2017/5/2,5
2017/5/3,3
2017/5/4,7
2017/5/5,7
2017/5/6,6
2017/5/7,3
2017/5/8,5
2017/5/9,5
2017/5/10,10
2017/5/11,2
2017/5/12,12
2017/5/13,3
2017/5/14,3
2017/5/16,5
2017/5/17,2
2017/5/18,3
2017/5/19,3
2017/5/20,3
2017/5/22,2
2017/5/23,5
2017/5/24,1
2017/5/25,1
2017/5/26,5
2017/5/27,5
2017/5/28,11
2017/5/29,7
2017/5/30,3
2017/5/31,6
2017/6/1,5
2017/6/2,3
2017/6/3,1
2017/6/4,6
2017/6/5,6
2017/6/6,9
2017/6/7,6
2017/6/9,3
2017/6/10,4
2017/6/11,5
2017/6/12,3
2017/6/13,10
2017/6/14,5
2017/6/15,3
2017/6/16,9
2017/6/17,4
2017/6/18,3
2017/6/19,2
2017/6/20,10
2017/6/21,9
2017/6/22,8
2017/6/23,10
2017/6/24,4
2017/6/25,5
2017/6/26,6
2017/6/27,6
2017/6/28,5
2017/6/29,9
2017/6/30,13
2017/7/1,8
2017/7/2,8
2017/7/3,8
2017/7/4,6
2017/7/5,6
2017/7/6,2
2017/7/7,8
2017/7/8,2
2017/7/9,13
2017/7/10,7
2017/7/11,4
2017/7/12,7
2017/7/13,7
2017/7/14,11
2017/7/15,4
2017/7/16,12
2017/7/17,5
2017/7/18,5
2017/7/19,4
2017/7/20,1
2017/7/21,5
2017/7/22,15
2017/7/23,3
2017/7/24,10
2017/7/25,18
2017/7/26,12
2017/7/27,7
2017/7/28,8
2017/7/29,12
2017/7/30,8
2017/7/31,2
2017/8/1,4
2017/8/2,2
2017/8/3,6
2017/8/4,11
2017/8/5,1
2017/8/6,7
2017/8/7,11
2017/8/8,6
2017/8/9,5
2017/8/10,3
2017/8/11,4
2017/8/12,4
2017/8/13,8
2017/8/14,4
2017/8/15,9
2017/8/16,7
2017/8/17,13
2017/8/18,7
2017/8/19,5
2017/8/20,5
2017/8/21,4
2017/8/22,4
2017/8/23,11
2017/8/24,9
2017/8/25,9
2017/8/26,11
2017/8/27,12
2017/8/28,1
2017/8/29,2
2017/8/30,4
2017/8/31,2
2017/9/1,5
2017/9/2,5
2017/9/3,9
2017/9/4,2
2017/9/5,4
2017/9/6,5
2017/9/7,9
2017/9/8,11
2017/9/9,2
2017/9/10,3
2017/9/12,4
2017/9/13,5
2017/9/14,8
2017/9/15,13
2017/9/16,6
2017/9/17,7
2017/9/18,2
2017/9/19,7
2017/9/20,16
2017/9/21,10
2017/9/22,10
2017/9/23,10
2017/9/24,9
2017/9/25,11
2017/9/26,13
2017/9/27,15
2017/9/28,5
2017/9/29,9
2017/9/30,12
2017/10/1,19
2017/10/2,3
2017/10/3,1
2017/10/4,10
2017/10/5,7
2017/10/6,1
2017/10/7,7
2017/10/8,9
2017/10/9,7
2017/10/10,8
2017/10/11,10
