"id","username","date","time","tweet","replies_count","retweets_count","likes_count","mentions"
1.24759e18,"emmanuelmacron",2020-04-08,"02:38:50","Protéger les femmes et les hommes les plus fragiles face au COVID-19. #FranceUnie pic.twitter.com/iLYmL6vgtK",135,237,1060,"[]"
1.24688e18,"emmanuelmacron",2020-04-06,"03:32:32","Nos entreprises françaises, à l'image de Kolmi-Hopen, sont engagées comme jamais pour équiper nos soignants en première ligne face au COVID-19. #FranceUnie pic.twitter.com/9NkpkKG2VV",510,697,2905,"[]"
1.24559e18,"emmanuelmacron",2020-04-02,"14:08:05","À vous toutes et tous qui vivez avec l'autisme, je pense très fort à vous en cette période difficile liée au COVID-19.
 http://elysee.fr/emmanuel-macron/2020/04/02/autisme … pic.twitter.com/3WONuCgu59",1051,1698,7261,"[]"
1.24527e18,"emmanuelmacron",2020-04-01,"16:46:37","Vous êtes soignant et êtes fortement mobilisé durant cette épidémie du COVID-19. L’État vous soutient :  pic.twitter.com/kdQtWNQkc9",249,761,2261,"[]"
1.24527e18,"emmanuelmacron",2020-04-01,"16:46:36","Vous êtes agriculteur et vous êtes concerné par une baisse d’activité à cause de l’épidémie du COVID-19. L’État vous protège :  pic.twitter.com/FEywLPofmn",50,453,1188,"[]"
1.24527e18,"emmanuelmacron",2020-04-01,"16:46:30","J'ai promis de vous protéger face aux pertes de revenus liées au COVID-19. Voici comment :",3583,8237,26864,"[]"
1.24524e18,"emmanuelmacron",2020-04-01,"14:39:38","Friendly discussion with @NarendraModi to reinforce cooperation and solidarity in our fight against COVID-19. Democracy, health, education and the battle against climate change stand at the core of our partnership and international vision.",83,198,1021,"['narendramodi']"
1.24524e18,"emmanuelmacron",2020-04-01,"14:36:26","Échange amical avec @NarendraModi pour renforcer notre coopération et notre solidarité face au COVID-19. La démocratie, la santé, l’éducation, la lutte contre le changement climatique sont au cœur de notre partenariat et de notre vision internationale.",249,346,2126,"['narendramodi']"
1.24504e18,"emmanuelmacron",2020-04-01,"01:29:07","Produire en France pour vaincre le COVID-19. #FranceUnie pic.twitter.com/RMXzh4wcty",588,658,2618,"[]"
1.24498e18,"emmanuelmacron",2020-03-31,"21:13:45","Notre combat contre le COVID-19 ne serait pas possible sans l’engagement de femmes et d’hommes qui ne comptent pas leurs heures et qui, avec courage, sont là pour faire avancer le pays. C’est cette #FranceUnie qui nous permettra de gagner contre cet ennemi invisible. pic.twitter.com/bfuDg6LLQl",524,544,2240,"[]"
1.24495e18,"emmanuelmacron",2020-03-31,"19:12:20","Pour vaincre le COVID-19, la France est engagée dans un effort de production sans précédent. À Saint-Barthélemy-d’Anjou, avec les salariés de l’entreprise Kolmi-Hopen qui produisent des masques chirurgicaux et FFP2.
 https://www.pscp.tv/EmmanuelMacron/1YqJDEXnZVBxV …",1235,932,3257,"[]"
1.24473e18,"emmanuelmacron",2020-03-31,"04:48:19","Des étudiants aux soignants, la #FranceUnie contre le COVID-19.  pic.twitter.com/5iDyzOL427",429,1051,4150,"[]"
1.24469e18,"emmanuelmacron",2020-03-31,"02:11:33","Chaque jour je vous vois vous engager. Ensemble, vous formez la #FranceUnie contre le COVID-19. Celle qui arrivera à le vaincre. Pour inspirer d'autres à suivre vos exemples, je partagerai vos initiatives solidaires.  pic.twitter.com/I7HXr5eeFP",2594,1735,9716,"[]"
1.24333e18,"emmanuelmacron",2020-03-27,"07:56:13","Very good discussion with @realDonaldTrump. In response to the COVID-19 crisis, we are preparing with other countries a new strong initiative in the coming days.",839,758,3803,"['realdonaldtrump']"
1.24333e18,"emmanuelmacron",2020-03-27,"07:53:15","Très bonne discussion avec @realDonaldTrump. Face à la crise du COVID-19, avec d’autres pays, nous préparons pour les prochains jours une nouvelle initiative importante.",2545,2982,16674,"['realdonaldtrump']"
