"﻿""id""",username,date,time,tweet,replies_count,retweets_count,likes_count,mentions,pos_neg,pos,neg
1.24759e18,emmanuelmacron,2020-04-08,02:38:50,Protéger les femmes et les hommes les plus fragiles face au COVID-19. #FranceUnie pic.twitter.com/iLYmL6vgtK,135,237,1060,[],Negative,0.17035089192404435,0.8296491080759552
1.24688e18,emmanuelmacron,2020-04-06,03:32:32,"Nos entreprises françaises, à l'image de Kolmi-Hopen, sont engagées comme jamais pour équiper nos soignants en première ligne face au COVID-19. #FranceUnie pic.twitter.com/9NkpkKG2VV",510,697,2905,[],Neutral,0.6687789281341021,0.33122107186589933
1.24559e18,emmanuelmacron,2020-04-02,14:08:05,"À vous toutes et tous qui vivez avec l'autisme, je pense très fort à vous en cette période difficile liée au COVID-19.
 http://elysee.fr/emmanuel-macron/2020/04/02/autisme … pic.twitter.com/3WONuCgu59",1051,1698,7261,[],Negative,0.12425219221680839,0.8757478077831928
1.24527e18,emmanuelmacron,2020-04-01,16:46:37,Vous êtes soignant et êtes fortement mobilisé durant cette épidémie du COVID-19. L’État vous soutient :  pic.twitter.com/kdQtWNQkc9,249,761,2261,[],Negative,0.12462564177224217,0.8753743582277586
1.24527e18,emmanuelmacron,2020-04-01,16:46:36,Vous êtes agriculteur et vous êtes concerné par une baisse d’activité à cause de l’épidémie du COVID-19. L’État vous protège :  pic.twitter.com/FEywLPofmn,50,453,1188,[],Negative,0.12425219221680778,0.8757478077831928
1.24527e18,emmanuelmacron,2020-04-01,16:46:30,J'ai promis de vous protéger face aux pertes de revenus liées au COVID-19. Voici comment :,3583,8237,26864,[],Neutral,0.514862605597104,0.48513739440289505
1.24524e18,emmanuelmacron,2020-04-01,14:39:38,"Friendly discussion with @NarendraModi to reinforce cooperation and solidarity in our fight against COVID-19. Democracy, health, education and the battle against climate change stand at the core of our partnership and international vision.",83,198,1021,['narendramodi'],Negative,0.0025663524582320275,0.9974336475417718
1.24524e18,emmanuelmacron,2020-04-01,14:36:26,"Échange amical avec @NarendraModi pour renforcer notre coopération et notre solidarité face au COVID-19. La démocratie, la santé, l’éducation, la lutte contre le changement climatique sont au cœur de notre partenariat et de notre vision internationale.",249,346,2126,['narendramodi'],Negative,0.08662442748260439,0.9133755725173971
1.24504e18,emmanuelmacron,2020-04-01,01:29:07,Produire en France pour vaincre le COVID-19. #FranceUnie pic.twitter.com/RMXzh4wcty,588,658,2618,[],Positive,0.9368948045274316,0.06310519547257067
1.24498e18,emmanuelmacron,2020-03-31,21:13:45,"Notre combat contre le COVID-19 ne serait pas possible sans l’engagement de femmes et d’hommes qui ne comptent pas leurs heures et qui, avec courage, sont là pour faire avancer le pays. C’est cette #FranceUnie qui nous permettra de gagner contre cet ennemi invisible. pic.twitter.com/bfuDg6LLQl",524,544,2240,[],Negative,0.001777361762365006,0.9982226382376322
1.24495e18,emmanuelmacron,2020-03-31,19:12:20,"Pour vaincre le COVID-19, la France est engagée dans un effort de production sans précédent. À Saint-Barthélemy-d’Anjou, avec les salariés de l’entreprise Kolmi-Hopen qui produisent des masques chirurgicaux et FFP2.
 https://www.pscp.tv/EmmanuelMacron/1YqJDEXnZVBxV …",1235,932,3257,[],Positive,0.9184236010324328,0.08157639896757142
1.24473e18,emmanuelmacron,2020-03-31,04:48:19,"Des étudiants aux soignants, la #FranceUnie contre le COVID-19.  pic.twitter.com/5iDyzOL427",429,1051,4150,[],Positive,0.8323791149204229,0.16762088507957792
1.24469e18,emmanuelmacron,2020-03-31,02:11:33,"Chaque jour je vous vois vous engager. Ensemble, vous formez la #FranceUnie contre le COVID-19. Celle qui arrivera à le vaincre. Pour inspirer d'autres à suivre vos exemples, je partagerai vos initiatives solidaires.  pic.twitter.com/I7HXr5eeFP",2594,1735,9716,[],Positive,0.8323791149204229,0.16762088507957834
1.24333e18,emmanuelmacron,2020-03-27,07:56:13,"Very good discussion with @realDonaldTrump. In response to the COVID-19 crisis, we are preparing with other countries a new strong initiative in the coming days.",839,758,3803,['realdonaldtrump'],Positive,0.9982788540193681,0.001721145980634116
1.24333e18,emmanuelmacron,2020-03-27,07:53:15,"Très bonne discussion avec @realDonaldTrump. Face à la crise du COVID-19, avec d’autres pays, nous préparons pour les prochains jours une nouvelle initiative importante.",2545,2982,16674,['realdonaldtrump'],Neutral,0.7054928390605725,0.29450716093942514
1.24326e18,emmanuelmacron,2020-03-27,03:30:00,"Réunion aujourd’hui avec les dirigeants du G20. Pour combattre l’épidémie du COVID-19 qui s’étend dans le monde entier, nous agissons avec coordination et solidarité. Nous allons lancer une initiative forte en soutien à l’Afrique face au virus.",4726,2224,13107,[],Neutral,0.322414054021762,0.6775859459782362
1.24292e18,emmanuelmacron,2020-03-26,05:03:34,C'est ainsi que vous contribuez à l'effort de la Nation contre le COVID-19 :  https://twitter.com/EmmanuelMacron/status/1239674643822325760 …,664,1028,4341,[],Negative,0.1548992100793086,0.8451007899206933
1.24292e18,emmanuelmacron,2020-03-26,04:49:37,"Chez vous, à l'hôpital ou au travail pour permettre au pays de tourner : chacun d'entre vous a un rôle à jouer dans le combat contre le COVID-19.",527,723,4408,[],Positive,0.9130147030865294,0.08698529691347266
1.24289e18,emmanuelmacron,2020-03-26,03:20:01,Nous ne devons avoir qu'une obsession : être unis pour battre le COVID-19.,1797,3129,20571,[],Neutral,0.49828633137074263,0.501713668629256
1.24289e18,emmanuelmacron,2020-03-26,03:04:48,"À Mulhouse, aux côtés des femmes et des hommes mobilisés en première ligne pour protéger les Français du COVID-19.  https://www.pscp.tv/w/cUpRUDFtTUtQdmVSTll5RUd8MXluSk9wa3lsa254UloEZ_QnOJ3VcX2HDiSbaokllsPdshjFcvXQzOETmh1C …",2934,1883,6138,[],Neutral,0.2985624890853104,0.7014375109146882
1.24274e18,emmanuelmacron,2020-03-25,16:50:55,"Merci Madame. C'est grâce à vous et vos collègues que nous pouvons, tous ensemble, lutter contre le COVID-19. Pour assurer votre sécurité, le pays s’engage dans un effort sans précédent pour produire masques et gels.  https://twitter.com/nach_mum/status/1241797150939496453 …",2543,6203,29631,[],Positive,0.967089582553539,0.0329104174464612
1.24236e18,emmanuelmacron,2020-03-24,16:09:21,C’est grâce à la science et à la médecine que nous vaincrons le virus. Je réunis aujourd’hui nos meilleurs chercheurs pour progresser sur les diagnostics et les traitements. Notre effort de recherche est totalement mobilisé dans la lutte contre le COVID-19.,3288,4018,26482,[],Neutral,0.2942735056236273,0.705726494376374
1.24213e18,emmanuelmacron,2020-03-24,00:37:01,"Protéger tous les Français du COVID-19. Déclaration depuis un centre d’hébergement parisien réquisitionné pour accueillir des sans-abris.
 https://www.pscp.tv/w/cUeLLDFtTUtQdmVSTll5RUd8MWVhS2JRbFprbFZ4WAAlXbDOKWV1w9TuMAn5Ghr1P48JACf5332p62ABRQ86?t=1s …",476,594,2193,[],Positive,0.9866628921796013,0.013337107820398326
1.24066e18,emmanuelmacron,2020-03-19,23:04:10,"La crise du COVID-19 nous rappelle le caractère vital de la recherche scientifique et la nécessité d'investir massivement pour le long terme. J'ai décidé d’augmenter de 5 milliards d'euros notre effort de recherche, effort inédit depuis la période de l’après-guerre.",4234,12686,62629,[],Negative,0.21937356457776425,0.7806264354222366
1.23966e18,emmanuelmacron,2020-03-17,05:06:30,"Face au COVID-19, aucune entreprise, quelle que soit sa taille, ne sera livrée au risque de la faillite ; aucune Française, aucun Français ne sera laissé sans ressources.  pic.twitter.com/WwZ6qmMvz9",358,1403,5449,[],Negative,0.02515078065825647,0.9748492193417428
1.23965e18,emmanuelmacron,2020-03-17,04:47:41,Le pays accompagnera les régions les plus touchées par le Covid-19. Un hôpital de campagne du Service de santé des armées sera déployé dans les jours à venir en Alsace.,150,561,3155,[],Positive,0.853016310599795,0.14698368940020756
1.23965e18,emmanuelmacron,2020-03-17,04:18:54,Nous sommes en guerre sanitaire contre le COVID-19.,4286,29818,133875,[],Neutral,0.6241964286042276,0.37580357139577103
1.23965e18,emmanuelmacron,2020-03-17,04:17:47,"Dans le contexte actuel de l’épidémie du COVID-19 et après avoir consulté le Président du Sénat, le Président de l’Assemblée nationale ainsi que mes prédécesseurs, j’ai décidé que le second tour des élections municipales serait reporté.",112,474,2556,[],Neutral,0.4251604294638059,0.5748395705361911
1.23965e18,emmanuelmacron,2020-03-17,04:10:04,"Pour vaincre le COVID-19, dès demain midi et pour 15 jours au moins, nos déplacements seront fortement réduits.  pic.twitter.com/9GyWFoTKLI",545,2436,8092,[],Negative,0.24743821576614516,0.7525617842338538
1.23963e18,emmanuelmacron,2020-03-17,03:23:29,"Jusqu'à il y a peu de temps, l’épidémie de COVID-19 était peut-être pour certains d’entre vous, une idée lointaine. Elle est devenue une réalité immédiate, et pressante.",1994,9698,52458,[],Neutral,0.5599679861404797,0.4400320138595222
1.23849e18,emmanuelmacron,2020-03-13,23:36:51,"Following my call with @realDonaldTrump and all G7 leaders, we agreed to organize an extraordinary Leaders Summit by videoconference on Monday on Covid-19. We will coordinate research efforts on a vaccine and treatments, and work on an economic and financial response.",1077,4357,17449,['realdonaldtrump'],Positive,0.9033528183831812,0.09664718161682195
1.23849e18,emmanuelmacron,2020-03-13,23:35:43,"Après un échange avec @realDonaldTrump et les dirigeants du G7, nous tiendrons un sommet extraordinaire du G7 par visioconférence ce lundi sur le Covid-19. Nous coordonnerons nos efforts sur le vaccin et les traitements, et travaillerons à une réponse économique et financière.",536,2374,12211,['realdonaldtrump'],Negative,0.12350817368833496,0.8764918263116644
1.2382e18,emmanuelmacron,2020-03-13,04:14:45,"La France unie, c’est notre meilleur atout dans la période troublée par le Covid-19 que nous traversons. Nous tiendrons. Tous ensemble.",1702,5469,42628,[],Positive,0.830939510582601,0.1690604894174005
1.2382e18,emmanuelmacron,2020-03-13,04:10:30,"Ne pas rendre visite à nos aînés, est - j’en ai bien conscience - un crève-cœur. C’est pourtant nécessaire, temporairement pour les protéger du Covid-19.",433,2818,17829,[],Positive,0.9431911196914422,0.05680888030856247
1.23819e18,emmanuelmacron,2020-03-13,04:05:48,"Covid-19 : nous n'ajouterons pas aux difficultés sanitaires la peur de la faillite pour les entrepreneurs, l'angoisse du chômage et des fins de mois pour les salariés. Nous vous protégerons.",360,1549,8776,[],Negative,0.16118125417989201,0.83881874582011
1.23819e18,emmanuelmacron,2020-03-13,04:05:03,"De nombreux programmes et essais cliniques sont en cours pour produire des diagnostics rapides, performants, efficaces. L'Europe a tous les atouts pour offrir au monde, dans les prochains mois, l'antidote au Covid-19.",199,1183,6548,[],Neutral,0.41333825599019414,0.5866617440098069
