id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions,hot
8.82E+17,realdonaldtrump,2017/7/2,21:21:42,#FraudNewsCNN #FNN pic.twitter.com/WYUnHjjUjg,126669,306010,522824,[],273889.1
1.16E+18,realdonaldtrump,2019/8/3,1:41:30,"A$AP Rocky released from prison and on his way home to the United States from Sweden. It was a Rocky Week, get home ASAP A$AP!",36746,235886,846873,[],237242.7
1.21E+18,realdonaldtrump,2020/1/3,10:32:53, pic.twitter.com/VXeKiVzpTf,173582,166921,795866,[],231813.8
1.20E+18,realdonaldtrump,2019/11/27,23:54:39, pic.twitter.com/11nzKwOCtU,151019,191120,681501,[],228127.8
9.30E+17,realdonaldtrump,2017/11/12,8:48:01,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so hard to be his friend - and maybe someday that will happen!",116791,226427,553595,[],226253
1.21E+18,realdonaldtrump,2020/1/8,10:45:24,"All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties & damages taking place now. So far, so good! We have the most powerful and well equipped military anywhere in the world, by far! I will be making a statement tomorrow morning.",147486,153125,750658,[],211186.6
1.15E+18,realdonaldtrump,2019/7/20,4:01:47,Just spoke to @KanyeWest about his friend A$AP Rocky’s incarceration. I will be calling the very talented Prime Minister of Sweden to see what we can do about helping A$AP Rocky. So many people would like to see this quickly resolved!,51264,191024,708449,['kanyewest'],200838.5
1.21E+18,realdonaldtrump,2020/1/5,13:11:03,"The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base, or any American, we will be sending some of that brand new beautiful equipment their way...and without hesitation!",116956,141849,672197,[],187415.9
9.48E+17,realdonaldtrump,2018/1/3,8:49:19,"North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger & more powerful one than his, and my Button works!",140345,160338,446513,[],182957.6
1.21E+18,realdonaldtrump,2019/12/25,20:26:31,MERRY CHRISTMAS!,78987,110092,724562,[],162207.5
1.23E+18,realdonaldtrump,2020/2/6,5:49:49, pic.twitter.com/JDS4zUXXJG,93165,130042,535599,[],159534.6
1.19E+18,realdonaldtrump,2019/10/29,4:02:56,"We have declassified a picture of the wonderful dog (name not declassified) that did such a GREAT JOB in capturing and killing the Leader of ISIS, Abu Bakr al-Baghdadi! pic.twitter.com/PDMx9nZWvw",52319,123495,555112,[],145303.9
1.24E+18,realdonaldtrump,2020/3/15,1:31:56,THE UNITED STATES LOVES ITALY! pic.twitter.com/DESUJ4QM41,34137,115742,639542,[],143640.5
1.24E+18,realdonaldtrump,2020/3/18,3:31:33,The world is at war with a hidden enemy. WE WILL WIN!,68365,111155,563494,[],143551.9
1.21E+18,realdonaldtrump,2019/12/19,11:49:43, pic.twitter.com/DutxclyZw9,85755,118687,444225,[],141361.2
1.24E+18,realdonaldtrump,2020/3/30,3:00:26,"I am a great friend and admirer of the Queen & the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protection. They must pay!",90905,99514,538185,[],140798.4
1.22E+18,realdonaldtrump,2020/1/27,7:54:34,"Kobe Bryant, despite being one of the truly great basketball players of all time, was just getting started in life. He loved his family so much, and had such strong passion for the future. The loss of his beautiful daughter, Gianna, makes this moment even more devastating....",19911,92019,729121,[],134096.8
1.18E+18,realdonaldtrump,2019/10/3,5:06:36,LOOK AT THIS PHOTOGRAPH! pic.twitter.com/QQYTqG4KTt,71551,112193,399897,[],128770.8
1.12E+18,realdonaldtrump,2019/4/18,21:57:33, pic.twitter.com/222atp7wuB,93053,104112,371882,[],127571.3
1.02E+18,realdonaldtrump,2018/7/23,11:24:19,"To Iranian President Rouhani: NEVER, EVER THREATEN THE UNITED STATES AGAIN OR YOU WILL SUFFER CONSEQUENCES THE LIKES OF WHICH FEW THROUGHOUT HISTORY HAVE EVER SUFFERED BEFORE. WE ARE NO LONGER A COUNTRY THAT WILL STAND FOR YOUR DEMENTED WORDS OF VIOLENCE & DEATH. BE CAUTIOUS!",113242,102948,318161,[],127557.5
1.24E+18,realdonaldtrump,2020/3/21,22:13:08,"HYDROXYCHLOROQUINE & AZITHROMYCIN, taken together, have a real chance to be one of the biggest game changers in the history of medicine. The FDA has moved mountains - Thank You! Hopefully they will BOTH (H works better with A, International Journal of Antimicrobial Agents).....",70853,103632,387505,[],122185.6
1.21E+18,realdonaldtrump,2020/1/1,9:30:35,HAPPY NEW YEAR!,54027,82361,563869,[],122011.6
1.25E+18,realdonaldtrump,2020/4/7,23:04:16,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",67991,101142,397418,[],120824.3
1.21E+18,realdonaldtrump,2020/1/6,22:48:27,IRAN WILL NEVER HAVE A NUCLEAR WEAPON!,78819,84285,463202,[],120536.9
1.08E+18,realdonaldtrump,2018/12/25,20:59:08,Merry Christmas!,88855,76329,466807,[],119134.6
1.21E+18,realdonaldtrump,2020/1/6,4:25:32,"These Media Posts will serve as notification to the United States Congress that should Iran strike any U.S. person or target, the United States will quickly & fully strike back, & perhaps in a disproportionate manner. Such legal notice is not required, but is given nevertheless!",99670,81674,372741,[],116179.5
1.11E+18,realdonaldtrump,2019/3/25,4:42:19,"No Collusion, No Obstruction, Complete and Total EXONERATION. KEEP AMERICA GREAT!",89569,85155,381100,[],116073.7
1.02E+18,realdonaldtrump,2018/7/9,5:58:52,"They just didn't get it, but they do now! pic.twitter.com/9T50NupkDy",48075,117501,308156,[],115738.7
1.24E+18,realdonaldtrump,2020/3/17,6:51:54,"The United States will be powerfully supporting those industries, like Airlines and others, that are particularly affected by the Chinese Virus. We will be stronger than ever before!",130025,71743,326737,[],114727
1.18E+18,realdonaldtrump,2019/9/28,3:41:18,I AM DRAINING THE SWAMP! pic.twitter.com/U7WxKrO6Kx,90953,93598,268486,[],110293.3
1.19E+18,realdonaldtrump,2019/10/27,9:23:39,Something very big has just happened!,106143,70443,356075,[],109716.2
1.24E+18,realdonaldtrump,2020/3/9,22:47:59,"So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shut down, life & the economy go on. At this moment there are 546 confirmed cases of CoronaVirus, with 22 deaths. Think about that!",83339,89191,294815,[],107997.8
1.12E+18,realdonaldtrump,2019/4/13,5:35:31,WE WILL NEVER FORGET! pic.twitter.com/VxrGFRFeJM,83896,95892,248736,[],107577.6
1.19E+18,realdonaldtrump,2019/10/31,1:54:14,AMERICAN HERO! pic.twitter.com/XCCa2sGfsZ,49992,82487,427959,[],107285.7
1.24E+18,realdonaldtrump,2020/3/14,6:54:36,"It is my great honor to declare Sunday, March 15th as a National Day of Prayer. We are a Country that, throughout our history, has looked to God for protection and strength in times like these....",40504,93894,372917,[],105779.3
1.24E+18,realdonaldtrump,2020/3/6,2:28:49,"Mini Mike, you’re easy!  pic.twitter.com/rxFiqSB9RQ  https://twitter.com/MikeBloomberg/status/1235232463045177344 …",28241,94205,407232,[],105718.5
1.11E+18,realdonaldtrump,2019/3/24,20:01:44,"Good Morning, Have A Great Day!",63532,68332,430383,[],103097.1
1.05E+18,realdonaldtrump,2018/9/28,6:46:17,"Judge Kavanaugh showed America exactly why I nominated him. His testimony was powerful, honest, and riveting. Democrats’ search and destroy strategy is disgraceful and this process has been a total sham and effort to delay, obstruct, and resist. The Senate must vote!",90671,73757,295433,[],100998.8
1.25E+18,realdonaldtrump,2020/4/6,19:55:14,LIGHT AT THE END OF THE TUNNEL!,54906,73116,402863,[],100627.7
1.24E+18,realdonaldtrump,2020/3/18,19:46:33,"I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!",106083,60986,309881,[],99404.6
1.22E+18,realdonaldtrump,2020/1/12,5:46:26,به مردم شجاع و رنج کشیده ایران: من از ابتدای دوره ریاست جمهوریم با شما ایستاده‌ام و دولت من همچنان با شما خواهد ایستاد. ما اعتراضات شما را از نزدیک دنبال می کنیم. شجاعت شما الهام بخش است.,45646,82490,360331,[],99220.9
1.22E+18,realdonaldtrump,2020/1/17,4:39:23,I JUST GOT IMPEACHED FOR MAKING A PERFECT PHONE CALL!,103514,55333,341779,[],98431.9
1.24E+18,realdonaldtrump,2020/3/16,20:41:22,God Bless the USA!,45715,68724,432848,[],98233.7
1.22E+18,realdonaldtrump,2020/1/24,10:40:03, pic.twitter.com/Acyh0HStm8,50729,80546,342194,[],97765.7
1.24E+18,realdonaldtrump,2020/3/23,22:16:00,THIS IS WHY WE NEED BORDERS!,58985,65965,393222,[],96596.7
1.24E+18,realdonaldtrump,2020/3/15,23:02:16,TODAY IS A NATIONAL DAY OF PRAYER. GOD BLESS EVERYONE!,35115,74894,407630,[],96233.9
8.23E+17,realdonaldtrump,2017/1/22,22:23:17,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",47087,76927,358122,[],96094.5
9.48E+17,realdonaldtrump,2018/1/1,20:12:00,"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies & deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",51711,88093,274184,[],95787.5
1.15E+18,realdonaldtrump,2019/7/26,5:24:21,Give A$AP Rocky his FREEDOM. We do so much for Sweden but it doesn’t seem to work the other way around. Sweden should focus on its real crime problem! #FreeRocky,32474,89673,318953,[],95441.3
1.14E+18,realdonaldtrump,2019/6/22,3:50:23, pic.twitter.com/JDS4zUXXJG,72848,73889,288056,[],94993.4
9.89E+17,realdonaldtrump,2018/4/26,3:33:07,"Thank you Kanye, very cool! https://twitter.com/kanyewest/status/989179757651574784 …",19823,92902,332029,[],94891
1.14E+18,realdonaldtrump,2019/6/27,9:35:55,BORING!,64477,73365,312461,[],94608.2
8.30E+17,realdonaldtrump,2017/2/10,7:35:49,"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!",130882,56352,208814,[],93957.2
1.15E+18,realdonaldtrump,2019/7/16,20:17:50,"Our Country is Free, Beautiful and Very Successful. If you hate our Country, or if you are not happy here, you can leave!",65007,69349,317465,[],92858
1.25E+18,realdonaldtrump,2020/4/6,3:35:34,"We are learning much about the Invisible Enemy. It is tough and smart, but we are tougher and smarter!",58272,62112,377369,[],92485.7
1.18E+18,realdonaldtrump,2019/9/29,5:14:45,"They are trying to stop ME, because I am fighting for YOU! pic.twitter.com/xiw4jtjkNl",90359,68262,242472,[],92312.1
1.23E+18,realdonaldtrump,2020/2/7,6:53:27, pic.twitter.com/QhTWvcY4Ke,46314,90598,238083,[],92061.3
1.24E+18,realdonaldtrump,2020/3/23,11:50:20,"WE CANNOT LET THE CURE BE WORSE THAN THE PROBLEM ITSELF. AT THE END OF THE 15 DAY PERIOD, WE WILL MAKE A DECISION AS TO WHICH WAY WE WANT TO GO!",72406,62410,324100,[],91577.8
1.11E+18,realdonaldtrump,2019/4/5,1:53:08,WELCOME BACK JOE! pic.twitter.com/b2NbBSX3sx,83276,67944,250562,[],90805.4
1.21E+18,realdonaldtrump,2019/12/12,20:22:27,"So ridiculous. Greta must work on her Anger Management problem, then go to a good old fashioned movie with a friend! Chill Greta, Chill! https://twitter.com/RealRomaDowney/status/1204822160470093824 …",118138,53011,221753,[],89423.3
1.25E+18,realdonaldtrump,2020/4/2,1:05:30,"Upon information and belief, Iran or its proxies are planning a sneak attack on U.S. troops and/or assets in Iraq. If this happens, Iran will pay a very heavy price, indeed!",52427,67043,332483,[],89202.2
1.08E+18,realdonaldtrump,2019/1/4,21:16:20,"How do you impeach a president who has won perhaps the greatest election of all time, done nothing wrong (no Collusion with Russia, it was the Dems that Colluded), had the most successful first two years of any president, and is the most popular Republican in party history 93%?",124541,47099,234423,[],89064
9.77E+17,realdonaldtrump,2018/3/22,18:19:57,"Crazy Joe Biden is trying to act like a tough guy. Actually, he is weak, both mentally and physically, and yet he threatens me, for the second time, with physical assault. He doesn’t know me, but he would go down fast and hard, crying all the way. Don’t threaten people Joe!",92433,62600,228879,[],88177.8
1.24E+18,realdonaldtrump,2020/3/24,22:16:34,"Our people want to return to work. They will practice Social Distancing and all else, and Seniors will be watched over protectively & lovingly. We can do two things together. THE CURE CANNOT BE WORSE (by far) THAN THE PROBLEM! Congress MUST ACT NOW. We will come back strong!",90157,55271,277962,[],88005.9
9.47E+17,realdonaldtrump,2017/12/29,8:01:47,"In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",123664,53976,182512,[],87736
1.08E+18,realdonaldtrump,2019/1/10,4:34:46,"Just left a meeting with Chuck and Nancy, a total waste of time. I asked what is going to happen in 30 days if I quickly open things up, are you going to approve Border Security which includes a Wall or Steel Barrier? Nancy said, NO. I said bye-bye, nothing else works!",112993,50303,232743,[],87354
