﻿id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions,pos_neg,pos,neg
1,realdonaldtrump,2020/4/8,6:43:41, pic.twitter.com/nyajxA52Fs,6355,7884,34119,[],Neutral,0.502,0.498
2,realdonaldtrump,2020/4/8,6:43:26, pic.twitter.com/fiorkR8wtn,3189,7742,35016,[],Neutral,0.502,0.498
3,realdonaldtrump,2020/4/8,5:29:52, pic.twitter.com/2VsBBtXpfg,4998,15317,46636,[],Neutral,0.502,0.498
4,realdonaldtrump,2020/4/8,5:23:22,Will be interviewed by @SeanHannity tonight at 9:00 P.M. Eastern on @FoxNews. Look forward to it.,14374,12651,59028,"['seanhannity', 'foxnews']",Positive,0.941248,0.0587518
5,realdonaldtrump,2020/4/8,5:03:47,White House news conference at 5:30 P.M. Eastern. Thank you!,10960,10924,71065,[],Negative,0.0660309,0.933969
6,realdonaldtrump,2020/4/8,4:39:01, pic.twitter.com/GIzwKSbuuS,4321,8512,36003,[],Neutral,0.502,0.498
7,realdonaldtrump,2020/4/8,4:03:03,"Just had a conf call w/ major lenders discussing our Great Small Businesses & the #PPPloan. I ask every company, big & small, making announcements about innovative contributions, hiring new workers, or looking to overcome setbacks to share your stories with #AmericaWorksTogether! pic.twitter.com/zfEy14aJ86",6119,13526,49009,[],Positive,0.980162,0.0198377
8,realdonaldtrump,2020/4/7,23:26:45,"Wisconsin, get out and vote NOW for Justice Daniel Kelly. Protect your 2nd Amendment!",18368,26347,109046,[],Positive,0.838916,0.161084
9,realdonaldtrump,2020/4/7,23:22:46,"Why didn’t the I.G., who spent 8 years with the Obama Administration (Did she Report on the failed H1N1 Swine Flu debacle where 17,000 people died?), want to talk to the Admirals, Generals, V.P. & others in charge, before doing her report. Another Fake Dossier!",26532,36914,138332,[],Negative,0.0120558,0.987944
10,realdonaldtrump,2020/4/7,23:04:16,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",67991,101142,397418,[],Positive,0.95158,0.0484197
11,realdonaldtrump,2020/4/7,12:35:42,"Vote today, Tuesday, for highly respected Republican, Justice Daniel Kelly. Tough on Crime, loves your Military, Vets, Farmers, & will save your 2nd Amendment. A BIG VOTE! https://twitter.com/realdonaldtrump/status/1247315619206266881 …",10956,21446,78284,[],Positive,0.900543,0.0994573
12,realdonaldtrump,2020/4/7,11:39:01,Great job being done by Dr. Nicole Saphier on @FoxNews!,6144,10828,86502,['foxnews'],Positive,0.9616,0.0383998
13,realdonaldtrump,2020/4/7,11:32:12, https://www.whitehouse.gov/articles/numbers-massive-nationwide-response/ …,5308,10314,44201,[],Neutral,0.502,0.498
14,realdonaldtrump,2020/4/7,8:10:56, pic.twitter.com/JIkrIczC8o,6398,9508,43313,[],Neutral,0.502,0.498
15,realdonaldtrump,2020/4/7,8:10:15, pic.twitter.com/e3wBhSwDx7,3665,10056,44284,[],Neutral,0.502,0.498
16,realdonaldtrump,2020/4/7,8:09:52,"The Wisconsin Supreme Court ruled that tomorrow’s election will proceed as scheduled. VOTE for Justice Daniel Kelly tomorrow, and be safe! https://twitter.com/realdonaldtrump/status/1246123536143573001 …",6487,22441,76556,[],Neutral,0.715307,0.284693
17,realdonaldtrump,2020/4/7,5:25:42,White House news conference at 5:45 P.M. Eastern. Thank you!,12567,12838,92460,[],Neutral,0.262719,0.737281
18,realdonaldtrump,2020/4/7,5:03:59,Congratulations to State Representative Karen Whitsett of Michigan. So glad you are getting better! https://www.freep.com/story/news/local/michigan/detroit/2020/04/06/democrat-karen-whitsett-coronavirus-hydroxychloroquine-trump/2955430001/ …,8299,30525,108123,[],Positive,0.999608,0.000392437
19,realdonaldtrump,2020/4/7,2:32:32, pic.twitter.com/GIzwKSbuuS,9445,14621,63321,[],Neutral,0.502,0.498
20,realdonaldtrump,2020/4/6,23:34:27,"Joe Biden wanted the date for the Democrat National Convention moved to a later time period. Now he wants a “Virtual” Convention, one where he doesn’t have to show up. Gee, I wonder why? Also, what ever happened to that phone call he told the Fake News he wanted to make to me?",38559,34827,169472,[],Neutral,0.266764,0.733236
21,realdonaldtrump,2020/4/6,21:08:58,"Advertising in the Failing New York Times is WAY down. Washington Post is not much better. I can’t say whether this is because they are Fake News sources of information, to a level that few can understand, or the Virus is just plain beating them up. Fake News is bad for America!",52003,31719,157936,[],Neutral,0.370022,0.629978
