"id","username","date","time","tweet","replies_count","retweets_count","likes_count","mentions","pos_neg","pos","neg"
1,"realdonaldtrump",2020-04-10,03:35:00,"The Wall Street Journal always “forgets” to mention that the ratings for the White House Press Briefings are “through the roof” (Monday Night Football, Bachelor Finale, according to @nytimes) & is only way for me to escape the Fake News & get my views across. WSJ is Fake News!",66250,28466,130493,"['nytimes']","Negative",0.01,0.99
2,"realdonaldtrump",2020-04-10,02:39:20,"Great News: Prime Minister Boris Johnson has just been moved out of Intensive Care. Get well Boris!!!",13193,54268,440421,"[]","Positive",0.99,0.01
3,"realdonaldtrump",2020-04-09,23:51:56,"On National Former Prisoner of War Recognition Day, we honor the more than 500,000 American warriors captured while protecting our way of life. We pay tribute to these Patriots for their unwavering and unrelenting spirit! https://www.whitehouse.gov/presidential-actions/proclamation-national-former-prisoner-war-recognition-day-2020/ …",19293,21886,88266,"[]","Positive",0.98,0.02
4,"realdonaldtrump",2020-04-09,23:08:05,".@OANN  A key CoronaVirus Model is now predicting far fewer deaths than the number shown in earlier models. That’s because the American people are doing a great job. Social Distancing etc. Keep going!",22294,31171,181650,"['oann']","Positive",0.95,0.05
5,"realdonaldtrump",2020-04-09,07:34:27,"Absentee Ballots are a great way to vote for the many senior citizens, military, and others who can’t get to the polls on Election Day. These ballots are very different from 100% Mail-In Voting, which is “RIPE for FRAUD,” and shouldn’t be allowed!",46388,50045,197454,"[]","Positive",0.95,0.05
6,"realdonaldtrump",2020-04-09,07:15:03,"This morning, 450,000 protective suits landed in Dallas, Texas. This was made possible because of the partnership of two great American companies—DuPont and FedEx—and our friends in Vietnam. Thank you! @DuPont_News @FedEx pic.twitter.com/8yhG6tYnQW",8963,20640,98247,"['dupont_news', 'fedex']","Positive",1.00,0.00
7,"realdonaldtrump",2020-04-09,06:48:50," pic.twitter.com/DKY3UPeyak",4752,12533,57032,"[]","Neutral",0.50,0.50
8,"realdonaldtrump",2020-04-09,04:50:34,"Wishing a HAPPY PASSOVER to those celebrating in the United States, Israel, and around the world! pic.twitter.com/83odnD9yvh",7555,22114,104591,"[]","Positive",1.00,0.00
9,"realdonaldtrump",2020-04-09,04:37:12,"White House news conference at 5:30 P.M. Eastern. Thank you!",13944,13655,89411,"[]","Neutral",0.30,0.70
10,"realdonaldtrump",2020-04-09,02:11:51,"Extraordinary times require even closer cooperation between friends. Thank you India and the Indian people for the decision on HCQ. Will not be forgotten! Thank you Prime Minister @NarendraModi for your strong leadership in helping not just India, but humanity, in this fight!",25567,109970,448120,"['narendramodi']","Positive",0.99,0.01
11,"realdonaldtrump",2020-04-09,00:12:24,"Can’t see AOC plus 3 supporting Sleepy Joe!",24068,20837,128349,"[]","Negative",0.13,0.87
12,"realdonaldtrump",2020-04-09,00:09:38,"Wow, Bernie is unwilling to give up his delegates, and wants more of them! What’s that all about?",16735,24854,143044,"[]","Positive",0.93,0.07
13,"realdonaldtrump",2020-04-08,23:49:28,"Bernie Sanders is OUT! Thank you to Elizabeth Warren. If not for her, Bernie would have won almost every state on Super Tuesday! This ended just like the Democrats & the DNC wanted, same as the Crooked Hillary fiasco. The Bernie people should come to the Republican Party, TRADE!",43028,57762,287821,"[]","Positive",1.00,0.00
14,"realdonaldtrump",2020-04-08,23:26:20,"FLATTENING OF THE CURVE!",24810,34013,238556,"[]","Negative",0.17,0.83
15,"realdonaldtrump",2020-04-08,22:52:56,"Once we OPEN UP OUR GREAT COUNTRY, and it will be sooner rather than later, the horror of the Invisible Enemy, except for those that sadly lost a family member or friend, must be quickly forgotten. Our Economy will BOOM, perhaps like never before!!!",41929,39018,214490,"[]","Positive",0.92,0.08
16,"realdonaldtrump",2020-04-08,22:42:25,"...the Fake News Media into not covering them, but that effort failed because the ratings are through the roof according to, of all sources, the Failing New York Times, “Monday Night Football, Bachelor Finale” type numbers (& sadly, they get it $FREE). Trump Derangement Syndrome!",11749,15800,72924,"[]","Neutral",0.29,0.71
17,"realdonaldtrump",2020-04-08,22:42:24,"The Radical Left Democrats have gone absolutely crazy that I am doing daily Presidential News Conferences. They actually want me to STOP! They used to complain that I am not doing enough of them, now they complain that I “shouldn’t be allowed to do them.” They tried to shame.....",19556,27562,125451,"[]","Negative",0.00,1.00
18,"realdonaldtrump",2020-04-08,20:46:01,"Will be immediately sending 100 Ventilators to Colorado at the request of Senator Gardner! https://twitter.com/sencorygardner/status/1247708045574049797 …",9958,14222,68788,"[]","Neutral",0.41,0.59
19,"realdonaldtrump",2020-04-08,20:20:48,"Republicans should fight very hard when it comes to state wide mail-in voting. Democrats are clamoring for it. Tremendous potential for voter fraud, and for whatever reason,  doesn’t work out well for Republicans. @foxandfriends",35152,41435,144674,"['foxandfriends']","Positive",0.79,0.21
20,"realdonaldtrump",2020-04-08,20:07:27,"“The number of New Yorkers admitted to hospitals has dropped.” @ainsleyearhardt @foxandfriends  Good news!",7896,20734,117511,"['ainsleyearhardt', 'foxandfriends']","Positive",0.91,0.09
21,"realdonaldtrump",2020-04-08,06:43:41," pic.twitter.com/nyajxA52Fs",7929,10901,50550,"[]","Neutral",0.50,0.50
22,"realdonaldtrump",2020-04-08,06:43:26," pic.twitter.com/fiorkR8wtn",3982,10292,49301,"[]","Neutral",0.50,0.50
23,"realdonaldtrump",2020-04-08,05:29:52," pic.twitter.com/2VsBBtXpfg",6498,21124,67497,"[]","Neutral",0.50,0.50
24,"realdonaldtrump",2020-04-08,05:03:47,"White House news conference at 5:30 P.M. Eastern. Thank you!",12112,12420,87041,"[]","Neutral",0.30,0.70
25,"realdonaldtrump",2020-04-08,04:39:01," pic.twitter.com/GIzwKSbuuS",4817,10124,45608,"[]","Neutral",0.50,0.50
26,"realdonaldtrump",2020-04-08,04:03:03,"Just had a conf call w/ major lenders discussing our Great Small Businesses & the #PPPloan. I ask every company, big & small, making announcements about innovative contributions, hiring new workers, or looking to overcome setbacks to share your stories with #AmericaWorksTogether! pic.twitter.com/zfEy14aJ86",6956,15574,59566,"[]","Positive",1.00,0.00
27,"realdonaldtrump",2020-04-07,23:26:45,"Wisconsin, get out and vote NOW for Justice Daniel Kelly. Protect your 2nd Amendment!",19445,27639,119352,"[]","Positive",0.98,0.02
