id,username,date,time,tweet,replies_count,retweets_count,likes_count,mentions
1241897485779468288,realdonaldtrump,2020-03-23,09:20:08,"My friend (always there when I’ve needed him!), Senator @RandPaul, was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.",34195,30628,196105,['randpaul']
1241558583193583617,realdonaldtrump,2020-03-22,10:53:27,CHINESE VIRUS FACT CHECK  pic.twitter.com/qJugCylvE2,51140,67269,208459,[]
1240391871026864130,realdonaldtrump,2020-03-19,05:37:22,"I only signed the Defense Production Act to combat the Chinese Virus should we need to invoke it in a worst case scenario in the future. Hopefully there will be no need, but we are all in this TOGETHER!",52856,37477,206696,[]
1240243188708839424,realdonaldtrump,2020-03-18,19:46:33,"I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!",106033,60888,309525,[]
1240234698053431305,realdonaldtrump,2020-03-18,19:12:49,I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!,29982,35088,168125,[]
1240226752447873027,realdonaldtrump,2020-03-18,18:41:14,"For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!",30831,46163,221947,[]
1239889767267008512,realdonaldtrump,2020-03-17,20:22:11,"Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus, some are being hit practically not at all. New York is a very big “hotspot”, West Virginia has, thus far, zero cases. Andrew, keep politics out of it....",52263,38574,180386,[]
1239685852093169664,realdonaldtrump,2020-03-17,06:51:54,"The United States will be powerfully supporting those industries, like Airlines and others, that are particularly affected by the Chinese Virus. We will be stronger than ever before!",129910,71593,326338,[]
1248266439582244866,realdonaldtrump,2020-04-09,23:08:05,.@OANN  A key CoronaVirus Model is now predicting far fewer deaths than the number shown in earlier models. That’s because the American people are doing a great job. Social Distancing etc. Keep going!,22359,31241,182236,['oann']
1247129414485397504,realdonaldtrump,2020-04-06,19:49:57,"For humanitarian reasons, the passengers from the two CoronaVirus stricken cruise ships have been given medical treatment and, when appropriate, allowed to disembark, under strict supervision. Very carefully done. People we’re dying & no other countries would allow them to dock!",5468,16022,78324,[]
1244320570315018240,realdonaldtrump,2020-03-30,01:48:36,"“President Trump is a ratings hit. Since reviving the daily White House briefing Mr. Trump and his coronavirus updates have attracted an average audience of 8.5 million on cable news, roughly the viewership of the season finale of ‘The Bachelor.’ Numbers are continuing to rise...",77969,24872,126487,[]
1244056534583312384,realdonaldtrump,2020-03-29,08:19:25,"On the recommendation of the White House CoronaVirus Task Force, and upon consultation with the Governor’s of New York, New Jersey and Connecticut, I have asked the @CDCgov to issue a strong Travel Advisory, to be administered by the Governors, in consultation with the....",14620,23945,110020,['cdcgov']
1243407157321560071,realdonaldtrump,2020-03-27,13:19:02,Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!,54749,51265,337659,[]
1242296014633086976,realdonaldtrump,2020-03-24,11:43:45,The Hill/HarrisX: 61% to 39% Approval Rating on handling of Coronavirus situation. Thank you!,6778,14407,72511,[]
1239235409491767298,realdonaldtrump,2020-03-16,01:02:00,"There will be a News Conference by the CoronaVirus Task Force today at the White House, 5 P.M. @VP  We are working closely with the Governors of our Country’s great States, which are a very big factor. They are working hard, along with us, to get the job properly done.....",7189,17053,72860,['vp']
1238791333252399104,realdonaldtrump,2020-03-14,19:37:24,Good teamwork between Republicans & Democrats as the House passes the big CoronaVirus Relief Bill. People really pulled together. Nice to see!,9456,21828,145852,[]
1238626501555298308,realdonaldtrump,2020-03-14,08:42:25,"I fully support H.R. 6201: Families First CoronaVirus Response Act, which will be voted on in the House this evening. This Bill will follow my direction for free CoronaVirus tests, and paid sick leave for our impacted American workers. I have directed....",13059,24684,119197,[]
1238478818135945216,realdonaldtrump,2020-03-13,22:55:34,"I will be having a news conference today at 3:00 P.M., The White House. Topic: CoronaVirus!",36394,29127,149951,[]
1238478167695863817,realdonaldtrump,2020-03-13,22:52:59,"To this point, and because we have had a very strong border policy, we have had 40 deaths related to CoronaVirus. If we had weak or open borders, that number would be many times higher!",32929,30520,158182,[]
1238193633825882113,realdonaldtrump,2020-03-13,04:02:21,"108 countries are dealing with the CoronaVirus problem, some of which we are helping!",32168,22468,138815,[]
1237861968721010689,realdonaldtrump,2020-03-12,06:04:26,"The Media should view this as a time of unity and strength. We have a common enemy, actually, an enemy of the World, the CoronaVirus. We must beat it as quickly and safely as possible. There is nothing more important to me than the life & safety of the United States!",45517,49369,253732,[]
1237820230296010752,realdonaldtrump,2020-03-12,03:18:35,I am fully prepared to use the full power of the Federal Government to deal with our current challenge of the CoronaVirus!,30675,28300,155930,[]
1237820042735226887,realdonaldtrump,2020-03-12,03:17:50,"I want to thank all of our Great Government officials on the CoronaVirus Task Force who are working around the clock, in response to the CoronaVirus. Continue to check  http://CDC.gov  for updates, and follow all recommendations that are available....",3543,13749,54824,[]
1237813728558678026,realdonaldtrump,2020-03-12,02:52:45,"....Together we are putting into policy a plan to prevent, detect, treat and create a vaccine against CoronaVirus to save lives in America and the world. America will get it done!",7535,12381,57641,[]
1237813081394348034,realdonaldtrump,2020-03-12,02:50:10,Someone needs to tell the Democrats in Congress that CoronaVirus doesn’t care what party you are in. We need to protect ALL Americans!,21811,35366,164966,[]
1237745593876873217,realdonaldtrump,2020-03-11,22:22:00,"Vanity Fair Magazine, which will soon be out of business, and their third rate Fake reporters, who make up sources which don’t exist, wrote yet another phony & boring hit piece. The facts are just the opposite. Our team is doing a great job with CoronaVirus!",28634,21222,94377,[]
1237388788776800256,realdonaldtrump,2020-03-10,22:44:11,Our CoronaVirus Team has been doing a great job. Even Democrat governors have been VERY complimentary!,8355,12984,67922,[]
1237027356314869761,realdonaldtrump,2020-03-09,22:47:59,"So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shut down, life & the economy go on. At this moment there are 546 confirmed cases of CoronaVirus, with 22 deaths. Think about that!",83330,89235,294752,[]
1237003145743605761,realdonaldtrump,2020-03-09,21:11:47,Great job being done by the @VP and the CoronaVirus Task Force. Thank you!,8842,14456,73037,['vp']
1236975196642390022,realdonaldtrump,2020-03-09,19:20:43,"The Fake News Media and their partner, the Democrat Party, is doing everything within its semi-considerable power (it used to be greater!) to inflame the CoronaVirus situation, far beyond what the facts would warrant. Surgeon General, “The risk is low to the average American.”",15014,26554,90994,[]
1236634209516752896,realdonaldtrump,2020-03-08,20:45:45,"We have a perfectly coordinated and fine tuned plan at the White House for our attack on CoronaVirus. We moved VERY early to close borders to certain areas, which was a Godsend. V.P. is doing a great job. The Fake News Media is doing everything possible to make us look bad. Sad!",42887,32102,145585,[]
1235955288064135168,realdonaldtrump,2020-03-06,23:47:58,"Spoke to Governor @GavinNewsom early this morning about the cruise ship quarantined off the California Coast. CoronaVirus test kits have been delivered, testing is taking place now.  pic.twitter.com/Pqda00HVCC",6325,12975,51681,['gavinnewsom']
1235952805581447173,realdonaldtrump,2020-03-06,23:38:06,"It is FAKE NEWS that @HHSGov @SecAzar is “sidelined” from the great job he is doing on the CoronaVirus Task Force. He has the total confidence of the @VP and myself, and is doing a fantastic job, as the numbers would indicate!",8040,15087,63685,"['hhsgov', 'secazar', 'vp']"
1235665090432708608,realdonaldtrump,2020-03-06,04:34:49,"Gallup just gave us the highest rating ever for the way we are handling the CoronaVirus situation. The April 2009-10 Swine Flu, where nearly 13,000 people died in the U.S., was poorly handled. Ask MSDNC & lightweight Washington failure @RonaldKlain, who the President was then?",17470,17806,72367,['ronaldklain']
