"id","username","date","time","tweet","replies_count","retweets_count","likes_count","mentions","pos_neg","pos","neg"
,"realdonaldtrump",2020-04-07,"23:04:16","The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",79750,114103,465779,"[]","Positive",0.999901,0.0000990436
,"realdonaldtrump",2020-03-27,"13:19:02","Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!",54748,51265,337624,"[]","Positive",0.999829,0.000170865
,"realdonaldtrump",2020-03-25,"18:14:23","“President Trump’s decision to very early on restrict travel from China saved tens of thousands of lives.”  @LouDobbs @FoxBusiness",13102,20654,108761,"['loudobbs', 'foxbusiness']","Positive",0.9974,0.00259996
,"realdonaldtrump",2020-03-24,"10:44:49","....us since the beginning of this crisis.” They meant the opposite? Forgot to mention that I closed our Country to China (and Europe) very early, long before it was considered acceptable to do so. Sleepy Joe said I was “xenophobic”, but I saved thousands of lives! Fake News!",14782,15240,74117,"[]","Negative",0.153176,0.846824
,"realdonaldtrump",2020-03-18,"19:46:33","I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!",106033,60887,309524,"[]","Positive",0.913909,0.0860907
,"realdonaldtrump",2020-03-16,"01:02:00","....The USA was never set up for this, just look at the catastrophe of the H1N1 Swine Flu (Biden in charge, 17,000 people lost, very late response time), but it soon will be. Great decision to close our China, and other, borders early. Saved many lives!",21792,13364,52831,"[]","Positive",0.995161,0.00483931
,"realdonaldtrump",2020-03-05,"23:53:33","“I want to commend the President for how he has handled the CoronaVirus situation, especially his early decision to shut down access into our Country from China, despite strong opposition to that decision.” @SenTomCotton Thank you Tom!",5654,12200,56257,"['sentomcotton']","Positive",0.858219,0.141781
,"realdonaldtrump",2020-03-03,"14:34:02","Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",3459,14279,57017,"[]","Neutral",0.261692,0.738308
,"realdonaldtrump",2020-03-02,"20:55:20","I was criticized by the Democrats when I closed the Country down to China many weeks ahead of what almost everyone recommended. Saved many lives. Dems were working the Impeachment Hoax. They didn’t have a clue! Now they are fear mongering. Be calm & vigilant!",18430,36387,160171,"[]","Positive",0.995278,0.00472209
,"realdonaldtrump",2020-02-28,"13:05:02","So, the Coronavirus, which started in China and spread to various countries throughout the world, but very slowly in the U.S. because President Trump closed our border, and ended flights, VERY EARLY, is now being blamed, by the Do Nothing Democrats, to be the fault of “Trump”.",32376,34570,158061,"[]","Neutral",0.599276,0.400724
